reef_name,region_lat,sector,start_year,event_year,target_year,end_year,nadir_year,final_year,gap_years,time_gap_years,sequence_type,sequence_type_primary,seq_category_main,seq_category,start_event_type,target_event_type,start_disturbance_type,target_disturbance_type,baseline_start_year,baseline_end_year,baseline_survey_n,baseline_hc,baseline_juv,baseline_algae,nadir_hc,nadir_juv,nadir_algae,final_hc,final_juv,final_algae,rel_loss,recovery_rate,recovery_pct,cots_lag_3yr,initial_cots,initial_herbivore,start_max_wind,start_max_dhw,target_max_wind,target_max_dhw,storm_exposure_seq,heat_exposure_seq,drop_abs,impact_flag,recovery_gain_abs,recovery_observed_flag,recovery_frac_loss,recovered_flag,fate_status,disturbance_group,baseline_hc_median,baseline_hc_group,baseline_hc_c
Carter_Reef,-14.532222222222224,North-Central,2015,2015,2016.0,2017,2017,2021.0,1.0,1.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Isolated Storm,Isolated Heatwave (Severe),2011,2013,2,35.79329247797375,21.518858749150674,2.5904012947885207,8.104976487662167,7.91668237363798,7.785823213397718,21.09589460917397,14.806250197551114,8.790119292937632,0.7735615830074934,3.247729530377951,0.3629428091731453,0.0,0.0,53.527974679443446,29.117304,1.55,0.0,11.32,29.117304,12.870000000000001,27.688315990311583,1,12.990918121511804,1,0.4691841181694638,0.0,failed,Storm-linked,21.631033898414216,High baseline HC,11.916477164417458
Carter_Reef,-14.532222222222224,North-Central,2017,2017,2020.0,2021,2021,2025.0,3.0,3.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Severe),Isolated Heatwave (Moderate),2013,2015,2,27.208069062002842,33.06084125109961,4.237405924919057,21.09589460917397,14.806250197551114,8.790119292937632,40.484227499534,20.28960078428541,4.921865338157798,0.22464565342362966,4.847083222590007,0.7125949602001199,0.0,0.0,55.12393092886519,0.0,9.04,0.0,7.72,0.0,16.759999999999998,6.112174452828871,1,19.38833289036003,1,3.1720843441218554,1.0,recovered,Heat-linked,21.631033898414216,High baseline HC,3.3312537484465494
Carter_Reef,-14.532222222222224,North-Central,2021,2021,2024.0,2024,2024,,3.0,3.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Severe),2017,2019,2,9.83840051863966,14.147401347574084,7.839510796463884,36.737069573040905,23.46214239817253,4.831727358797042,,,,-1.0,,,0.0,0.0,60.08656461399352,0.0,4.59,0.0,8.21,0.0,12.8,-26.898669054401246,0,,0,,,non_impact,Heat-linked,21.631033898414216,Low baseline HC,-14.038414794916633
Carter_Reef,-14.532222222222224,North-Central,2022,2022,2022.0,2022,2022,2025.0,0.0,0.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Sequential S->H (Same Year),Sequential S->H (Same Year),2017,2019,2,9.83840051863966,14.147401347574084,7.839510796463884,28.411659396758232,17.093379085395743,8.248372513250768,40.484227499534,20.28960078428541,4.921865338157798,-1.0,4.024189367591923,1.2270864638925092,0.0,0.0,73.4011908603668,18.839023748904825,0.0,0.0,4.64,18.839023748904825,4.64,-18.573258878118573,0,12.072568102775769,1,,,non_impact,Storm-linked,21.631033898414216,Low baseline HC,-14.038414794916633
Carter_Reef,-14.532222222222224,North-Central,2025,2025,,2025,2025,,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Severe),,2021,2023,3,26.66446139014558,16.815988212286044,8.536402477309196,40.484227499534,20.28960078428541,4.921865338157798,,,,-0.5182840900921333,,,0.0,0.0,64.81637874170576,0.0,8.02,0.0,0.0,0.0,8.02,-13.819766109388421,0,,0,,,non_impact,Heat-linked,21.631033898414216,High baseline HC,2.7876460765892865
Centipede_Reef,-18.74194444444445,Central,1989,1989,,1991,1991,,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1986,1987,2,20.106518300477507,,,15.913749280015423,,,,,,0.20852784941699778,,,0.11,0.57,,35.846474190771644,0.33,0.0,0.0,35.846474190771644,0.33,4.192769020462084,0,,0,,,non_impact,Storm-linked,21.631033898414216,Low baseline HC,-3.7702970130787854
Centipede_Reef,-18.74194444444445,Central,2022,2022,,2025,2025,,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Moderate),,2018,2020,2,18.853831003810697,12.35140730664951,5.835031036396741,16.993564399489443,,,,,,0.09866783063586708,,,0.0033333333333333335,0.0,,0.0,5.04,0.0,0.0,0.0,5.04,1.8602666043212537,0,,0,,,non_impact,Heat-linked,21.631033898414216,Low baseline HC,-5.0229843097455955
Chicken_Reef,-18.661952777777778,Central,2017,2017,,2017,2017,2021.0,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Moderate),,2012,2015,4,12.165219619874634,23.20553340281848,2.6242568202178167,25.00060267131752,30.738111870243703,2.7548013699174514,44.55431412108499,22.35707745244986,2.429987073012166,-1.0,4.888427862441868,1.6073455359426532,0.0,0.0,72.07376418347559,0.0,5.36,0.0,0.0,0.0,5.36,-12.835383051442886,0,19.553711449767473,1,,,non_impact,Heat-linked,21.631033898414216,Low baseline HC,-11.711595693681659
Chicken_Reef,-18.661952777777778,Central,2022,2022,2025.0,2025,2025,,3.0,3.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Moderate),2017,2020,3,30.228769872782795,22.10167221334436,2.6705932187243433,40.47068978248909,24.78464301539492,2.140035565425732,,,,-0.3388136517896434,,,0.0,0.0,55.03161881602463,0.0,5.45,0.0,4.89,0.0,10.34,-10.241919909706294,0,,0,,,non_impact,Heat-linked,21.631033898414216,High baseline HC,6.3519545592265025
Chicken_Reef,-18.661952777777778,Central,2024,2024,2024.0,2025,2025,,0.0,0.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Sequential S->H (Same Year),Sequential S->H (Same Year),2020,2022,3,43.04859314842903,22.462965942328864,2.1180616258292444,40.47068978248909,24.78464301539492,2.140035565425732,,,,0.05988356825161461,,,0.0,0.0,72.39226507631636,23.818572,0.0,0.0,6.04,23.818572,6.04,2.577903365939939,0,,0,,,non_impact,Storm-linked,21.631033898414216,High baseline HC,19.171777834872735
