reef_name,year,region_lat,sector,max_dhw,dhw_peak_date,dhw_start_date,dhw_peak_aims_month,dhw_start_aims_month,min_dist,max_wind_ms,storm_name,storm_id,storm_track_id,storm_track_key_type,storm_peak_date,storm_aims_month,has_storm,has_heatwave,has_hw_moderate,has_hw_severe,Disturbance_Type
Agincourt_Reef_No_1,1985,-16.05227777777778,Central,0.0,,,,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1986,-16.05227777777778,Central,0.0,,,,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1987,-16.05227777777778,Central,0.0,,,,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1988,-16.05227777777778,Central,0.0,,,,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1989,-16.05227777777778,Central,1.24,1989.1341546885694,,7.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1990,-16.05227777777778,Central,0.33,1990.0684462696784,,6.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1991,-16.05227777777778,Central,0.63,1991.0876112251883,,7.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1992,-16.05227777777778,Central,0.0,1991.498288843258,,0.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1993,-16.05227777777778,Central,0.0,1992.501026694045,,0.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1994,-16.05227777777778,Central,3.37,1994.2026009582478,,8.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1995,-16.05227777777778,Central,1.3,1995.1533196440794,,7.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1996,-16.05227777777778,Central,1.44,1996.0985626283368,,7.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1997,-16.05227777777778,Central,0.0,1996.501026694045,,0.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1998,-16.05227777777778,Central,0.0,1997.498288843258,,0.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,1999,-16.05227777777778,Central,0.49,1999.03832991102,,6.0,,20.30809921781377,19.857384,RONA,AU199899_09U,AU199899_09U,DISTURBANCE_ID,1999.1149897330595,7.0,1,0,0,0,Isolated Storm
Agincourt_Reef_No_1,2000,-16.05227777777778,Central,0.0,1999.498288843258,,0.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,2001,-16.05227777777778,Central,1.27,2001.1943874058863,,8.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,2002,-16.05227777777778,Central,2.71,2002.0985626283368,,7.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,2003,-16.05227777777778,Central,0.31,2003.125941136208,,7.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,2004,-16.05227777777778,Central,2.19,2004.1615331964408,,7.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,2005,-16.05227777777778,Central,0.15,2005.084873374401,,6.0,,,0.0,,,,,,,0,0,0,0,Safe
Agincourt_Reef_No_1,2006,-16.05227777777778,Central,0.0,2005.498288843258,,0.0,,,0.0,,,,,,,0,0,0,0,Safe
