reef_name,year,region_lat,sector,max_dhw,dhw_start_date,dhw_peak_date,dhw_start_aims_month,dhw_peak_aims_month,has_heatwave,has_hw_moderate,has_hw_severe,min_dist,max_wind_ms,storm_name,storm_id,storm_track_id,storm_track_key_type,storm_peak_date,storm_aims_month,has_storm,Disturbance_Type,HC_cover,SOFT_CORAL_cover,ALGAE_cover,MACROALGAE_cover,Juveniles,Fish_Herbivores,COTS_density,cots_lag_3yr,decimal_date
Agincourt_Reef_No_1,1986,-16.05227777777778,Central,0.0,,,,,0,0,0,,0.0,,,,,,,0,Safe,,,,,,,0.0,,
Agincourt_Reef_No_1,1987,-16.05227777777778,Central,0.0,,,,,0,0,0,,0.0,,,,,,,0,Safe,,,,,,,0.0,0.0,
Agincourt_Reef_No_1,1988,-16.05227777777778,Central,0.0,,,,,0,0,0,,0.0,,,,,,,0,Safe,,,,,,,0.0,0.0,
Agincourt_Reef_No_1,1989,-16.05227777777778,Central,1.24,,1989.1341546885692,,7.0,0,0,0,,0.0,,,,,,,0,Safe,11.82434663361459,,,,,,0.0,0.0,1989.1397260273968
Agincourt_Reef_No_1,1990,-16.05227777777778,Central,0.33,,1990.0684462696784,,6.0,0,0,0,,0.0,,,,,,,0,Safe,,,,,,,0.0,0.0,
Agincourt_Reef_No_1,1991,-16.05227777777778,Central,0.63,,1991.0876112251883,,7.0,0,0,0,,0.0,,,,,,,0,Safe,,,,,,,0.0,0.0,
Agincourt_Reef_No_1,1992,-16.05227777777778,Central,0.0,,1991.498288843258,,0.0,0,0,0,,0.0,,,,,,,0,Safe,,,,,,,0.0,0.0,
Agincourt_Reef_No_1,1993,-16.05227777777778,Central,0.0,,1992.501026694045,,0.0,0,0,0,,0.0,,,,,,,0,Safe,,,,,,,0.0,0.0,
Agincourt_Reef_No_1,1994,-16.05227777777778,Central,3.37,,1994.202600958248,,8.0,0,0,0,,0.0,,,,,,,0,Safe,17.524821997144844,19.26884318087636,55.53353017826971,0.3645283110804083,,,0.0,0.0,1994.120547945205
Agincourt_Reef_No_1,1995,-16.05227777777778,Central,1.3,,1995.1533196440796,,7.0,0,0,0,,0.0,,,,,,,0,Safe,24.083139345656853,19.990968809219424,46.56833733610468,0.4229962910722297,,53.91217021567086,0.0,0.0,1995.2767123287672
Agincourt_Reef_No_1,1996,-16.05227777777778,Central,1.44,,1996.0985626283368,,7.0,0,0,0,,0.0,,,,,,,0,Safe,27.14210816711729,23.54033452232026,44.724743623133264,1.0398016336421634,,50.58991979139116,0.0,0.0,1996.0273972602736
Agincourt_Reef_No_1,1997,-16.05227777777778,Central,0.0,,1996.501026694045,,0.0,0,0,0,,0.0,,,,,,,0,Safe,27.29450309589769,28.425971996250517,41.75996630782845,1.0914830040055057,,43.25342770356015,0.0,0.0,1997.07397260274
Agincourt_Reef_No_1,1998,-16.05227777777778,Central,0.0,,1997.498288843258,,0.0,0,0,0,,0.0,,,,,,,0,Safe,31.34126412075912,26.323327197332723,39.331749246290585,1.2583490249773637,,46.39334875362778,0.0,0.0,1998.0712328767124
Agincourt_Reef_No_1,1999,-16.05227777777778,Central,0.49,,1999.03832991102,,6.0,0,0,0,20.30809921781377,19.857384,RONA,AU199899_09U,AU199899_09U,DISTURBANCE_ID,1999.1149897330597,7.0,1,Isolated Storm,35.806982350624786,30.4645148727741,32.85139617271858,1.002198314298449,,37.88221213482073,0.0,0.0,1999.0767123287671
Agincourt_Reef_No_1,2000,-16.05227777777778,Central,0.0,,1999.498288843258,,0.0,0,0,0,,0.0,,,,,,,0,Safe,37.14392392890793,24.75605807949328,36.40981340816317,2.7533765325596904,,36.60052464370416,0.0,0.0,2000.06301369863
Agincourt_Reef_No_1,2001,-16.05227777777778,Central,1.27,,2001.1943874058863,,8.0,0,0,0,,0.0,,,,,,,0,Safe,39.44528329415552,24.340370038634365,34.16518978723522,1.2473296141237018,,35.777910224329496,0.0,0.0,2001.0767123287671
