data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series,color
"manta","reef","John Brewer Reef",1986,"1985.1780821917808219","HC",7.33173870055108,6.057878171271177,8.519309027023967,"LTMP",9,"_"," ",7.370938690861653,"null","9.0m",""
"manta","reef","John Brewer Reef",1987,"1986.8164383561643835","HC",4.660849738726629,3.7624392578410952,5.798929572679034,"LTMP",9,"_"," ",4.675234915820784,"null","9.0m",""
"manta","reef","John Brewer Reef",1988,"1987.473972602739726","HC",6.607867317797367,5.63564107066873,7.721163868518658,"LTMP",9,"_"," ",6.626058575519386,"null","9.0m",""
"manta","reef","John Brewer Reef",1989,"1988.5315068493150685","HC",4.77288867588449,3.848153998234288,5.861961797868178,"LTMP",9,"_"," ",4.798058597625142,"null","9.0m",""
"manta","reef","John Brewer Reef",1990,"1989.44931506849315067","HC",8.60805774006309,7.0312709623607335,9.901500638653115,"LTMP",9,"_"," ",8.627902688698333,"null","9.0m",""
"manta","reef","John Brewer Reef",1993,"1992.2684931506849315","HC",13.540330761512266,11.632913336915705,15.467463453872817,"LTMP",9,"_"," ",13.534281292509787,"null","9.0m",""
"manta","reef","John Brewer Reef",1995,"1995.27123287671232876","HC",20.296021266293522,17.907841825683345,22.79155944391938,"LTMP",9,"_"," ",20.340633470359943,"null","9.0m",""
"manta","reef","John Brewer Reef",1996,"1996.3041095890410959","HC",19.278106790055553,16.762902226523675,21.656847571592248,"LTMP",9,"_"," ",19.291820980721454,"null","9.0m",""
"manta","reef","John Brewer Reef",1997,"1997.2356164383561644","HC",21.594237467472205,19.3552094676338,23.769367350779813,"LTMP",9,"_"," ",21.604291890348954,"null","9.0m",""
"manta","reef","John Brewer Reef",1998,"1998.3041095890410959","HC",30.110153695695264,27.743861679349703,33.23185567703106,"LTMP",9,"_"," ",30.18528726902211,"null","9.0m",""
"manta","reef","John Brewer Reef",1999,"1999.32054794520547947","HC",20.994021745255765,18.690775661563812,23.252643210799427,"LTMP",9,"_"," ",20.980801527063814,"null","9.0m",""
"manta","reef","John Brewer Reef",2000,"2000.3315068493150685","HC",22.604030058411645,20.28262166711153,25.28870004791195,"LTMP",9,"_"," ",22.679534907182237,"null","9.0m",""
"manta","reef","John Brewer Reef",2001,"2001.3424657534246575","HC",15.522733700229258,13.17685468086809,17.590845391691968,"LTMP",9,"_"," ",15.58458807212087,"null","9.0m",""
"manta","reef","John Brewer Reef",2002,"2002.13424657534246576","HC",11.384716855291122,9.878718049053548,13.139224936884109,"LTMP",9,"_"," ",11.386976959024734,"null","9.0m","#17becf"
"manta","reef","John Brewer Reef",2003,"2003.18356164383561643","HC",5.964072708559036,4.937501611476948,7.092745423385038,"LTMP",9,"_"," ",5.964082734243497,"null","9.0m",""
"manta","reef","John Brewer Reef",2004,"2004.29863013698630136","HC",5.603984561700558,4.5759116872402,6.734770628049051,"LTMP",9,"_"," ",5.629827596496096,"null","9.0m",""
"manta","reef","John Brewer Reef",2005,"2005.32054794520547947","HC",5.651966674274502,4.729121185448528,6.799311403332774,"LTMP",9,"_"," ",5.664354717545424,"null","9.0m",""
"manta","reef","John Brewer Reef",2007,"2007.410958904109589","HC",5.733795633663006,4.733544121359145,6.914048174043789,"LTMP",9,"_"," ",5.759799410939944,"null","9.0m",""
"manta","reef","John Brewer Reef",2008,"2008.33972602739726027","HC",5.787758334722767,4.722700303624071,6.95057967761463,"LTMP",9,"_"," ",5.80595139615115,"null","9.0m",""
"manta","reef","John Brewer Reef",2009,"2009.36712328767123287","HC",6.272211668651045,5.302078793611396,7.494736768135585,"LTMP",9,"_"," ",6.295269915668064,"null","9.0m",""
"manta","reef","John Brewer Reef",2011,"2011.3589041095890411","HC",7.073546940958725,5.881165522895411,8.431439156722613,"LTMP",9,"_"," ",7.111562306255436,"null","9.0m",""
