a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"TO","Burdekin","Chicken Reef",1986,"1985.7698630136986301","COTS",60,2,"0.03"
"TO","Burdekin","Chicken Reef",1989,"1988.5260273972602739","COTS",42,6,"0.14"
"TO","Burdekin","Chicken Reef",1990,"1989.5835616438356165","COTS",37,0,"0.00"
"TO","Burdekin","Chicken Reef",1994,"1993.9315068493150684","COTS",40,0,"0.00"
"TO","Burdekin","Chicken Reef",1995,"1995.29315068493150687","COTS",44,0,"0.00"
"TO","Burdekin","Chicken Reef",1996,"1996.3178082191780822","COTS",39,0,"0.00"
"TO","Burdekin","Chicken Reef",1997,"1997.24383561643835616","COTS",40,0,"0.00"
"TO","Burdekin","Chicken Reef",1998,"1998.336986301369863","COTS",46,0,"0.00"
"TO","Burdekin","Chicken Reef",1999,"1999.3095890410958904","COTS",47,0,"0.00"
"TO","Burdekin","Chicken Reef",2000,"2000.336986301369863","COTS",41,1,"0.02"
"TO","Burdekin","Chicken Reef",2001,"2001.33424657534246577","COTS",43,0,"0.00"
"TO","Burdekin","Chicken Reef",2002,"2002.10136986301369863","COTS",42,0,"0.00"
"TO","Burdekin","Chicken Reef",2003,"2003.21095890410958903","COTS",47,186,"3.96"
"TO","Burdekin","Chicken Reef",2004,"2004.3315068493150685","COTS",47,118,"2.51"
"TO","Burdekin","Chicken Reef",2005,"2005.3452054794520548","COTS",47,184,"3.91"
"TO","Burdekin","Chicken Reef",2006,"2006.7287671232876712","COTS",35,0,"0.00"
"TO","Burdekin","Chicken Reef",2007,"2007.37534246575342467","COTS",41,0,"0.00"
"TO","Burdekin","Chicken Reef",2008,"2008.37534246575342467","COTS",40,0,"0.00"
"TO","Burdekin","Chicken Reef",2009,"2009.32602739726027397","COTS",47,0,"0.00"
"TO","Burdekin","Chicken Reef",2010,"2010.27671232876712326","COTS",39,0,"0.00"
"TO","Burdekin","Chicken Reef",2011,"2011.33424657534246577","COTS",41,0,"0.00"
"TO","Burdekin","Chicken Reef",2012,"2012.3150684931506849","COTS",41,0,"0.00"
"TO","Burdekin","Chicken Reef",2013,"2013.3863013698630137","COTS",39,0,"0.00"
"TO","Burdekin","Chicken Reef",2014,"2014.3315068493150685","COTS",43,0,"0.00"
"TO","Burdekin","Chicken Reef",2015,"2015.336986301369863","COTS",45,0,"0.00"
"TO","Burdekin","Chicken Reef",2016,"2016.34794520547945207","COTS",46,0,"0.00"
"TO","Burdekin","Chicken Reef",2017,"2017.36164383561643837","COTS",46,0,"0.00"
"TO","Burdekin","Chicken Reef",2018,"2018.32054794520547947","COTS",46,0,"0.00"
"TO","Burdekin","Chicken Reef",2020,"2020.4054794520547945","COTS",41,0,"0.00"
"TO","Burdekin","Chicken Reef",2021,"2021.2136986301369863","COTS",45,0,"0.00"
"TO","Burdekin","Chicken Reef",2022,"2022.1589041095890411","COTS",46,0,"0.00"
"TO","Burdekin","Chicken Reef",2023,"2023.3452054794520548","COTS",45,0,"0.00"
"TO","Burdekin","Chicken Reef",2024,"2024.10684931506849316","COTS",50,0,"0.00"
"TO","Burdekin","Chicken Reef",2025,"2025.25205479452054796","COTS",53,0,"0.00"
