sample_scope,baseline_hc_group,disturbance_group,n_events,n_reefs,recovered_n,failed_n,recovered_fraction,mean_recovery_frac_loss,median_recovery_frac_loss
supplement_only,Low baseline HC,Heat-linked,6,6,5,1,0.8333333333333334,1.440768901293213,0.8519588727864496
supplement_only,Low baseline HC,Storm-linked,5,5,3,2,0.6,0.7912102041109753,0.6821388382237297
supplement_only,High baseline HC,Heat-linked,9,9,6,3,0.6666666666666666,1.8069537800108475,0.8310625881408646
supplement_only,High baseline HC,Storm-linked,15,15,7,8,0.4666666666666667,0.40841947634708015,0.4691841181694638
strict_plus_supplement,Low baseline HC,Heat-linked,12,11,8,4,0.6666666666666666,1.0078251425718314,0.7546764085450902
strict_plus_supplement,Low baseline HC,Storm-linked,15,14,11,4,0.7333333333333333,0.7203734038338631,0.8611700359774389
strict_plus_supplement,High baseline HC,Heat-linked,12,11,9,3,0.75,1.6298005722147055,0.8792934366516619
strict_plus_supplement,High baseline HC,Storm-linked,41,27,18,23,0.43902439024390244,0.41561440731924215,0.4510921778350847
