grouping,group,n_observations,n_reefs,mean_loss_abs,median_loss_abs,negative_loss_n,negative_loss_proportion,mean_baseline_hc,recent_2024_2025_n,recent_2024_2025_proportion,mean_nadir_event_interval,median_nadir_event_interval,nadir_interval_0yr_proportion,nadir_interval_1yr_or_less_proportion
heatwave_years_5yr,0,256,86,6.791617640698165,4.067499212438657,77,0.30078125,25.78171763429273,4,0.015625,1.45703125,1.0,0.22265625,0.5703125
heatwave_years_5yr,1,104,77,4.65819104130685,1.2433160201003135,44,0.4230769230769231,24.393042105202383,24,0.23076923076923078,1.1634615384615385,1.0,0.3269230769230769,0.6442307692307693
heatwave_years_5yr,2,97,54,0.11482652225363268,-0.285467178701829,52,0.5360824742268041,23.363823607252247,33,0.3402061855670103,0.9690721649484536,1.0,0.4536082474226804,0.7525773195876289
heatwave_years_5yr,3,56,36,0.860801640341416,0.012919970487763152,28,0.5,26.49921007797664,35,0.625,0.625,0.0,0.5892857142857143,0.8392857142857143
heatwave_years_5yr,4,12,12,1.1046554870516865,0.33521451486838316,5,0.4166666666666667,27.333263147276146,12,1.0,0.16666666666666666,0.0,0.8333333333333334,1.0
nadir_event_interval,0,178,73,,,101,0.5674157303370787,,53,0.29775280898876405,,,,
nadir_event_interval,1,167,77,,,59,0.3532934131736527,,41,0.24550898203592814,,,,
nadir_event_interval,2,82,57,,,22,0.2682926829268293,,14,0.17073170731707318,,,,
nadir_event_interval,3,98,65,,,24,0.24489795918367346,,0,0.0,,,,
