table,model,model_family,response,term,label,beta,z,p,ci_low,ci_high,n_observations,n_reefs,quantile
Table S7,0.90 quantile recurrence model,quantile regression,loss_abs,Intercept,Intercept,8.302083829991103,3.673398268795154,0.0002643380913041613,3.862042081432314,12.742125578549892,525,92,0.9
Table S7,0.90 quantile recurrence model,quantile regression,loss_abs,C(event_type)[T.Heatwave_Only],C(event_type)[T.Heatwave_Only],9.003605957339055,2.977079609333365,0.003046768767462709,3.0621348707077543,14.945077043970354,525,92,0.9
Table S7,0.90 quantile recurrence model,quantile regression,loss_abs,C(event_type)[T.Storm_Only],C(event_type)[T.Storm_Only],4.922419969016812,2.1612946008759892,0.031131851325647296,0.4480421674666051,9.39679777056702,525,92,0.9
Table S7,0.90 quantile recurrence model,quantile regression,loss_abs,baseline_hc_z,Baseline hard-coral cover,10.524880183051906,17.946081912379913,2.5712003885869997e-56,9.372713079710733,11.677047286393078,525,92,0.9
Table S7,0.90 quantile recurrence model,quantile regression,loss_abs,recent_max_dhw_z,Event-year maximum DHW,1.1642739689874824,1.4573267080158465,0.1456345042088035,-0.40524373810243297,2.7337916760773977,525,92,0.9
Table S7,0.90 quantile recurrence model,quantile regression,loss_abs,recent_max_wind_z,Event-year maximum wind speed,3.1355972768373235,2.7682595279295,0.005838270906085921,0.9103338428017196,5.360860710872927,525,92,0.9
Table S7,0.90 quantile recurrence model,quantile regression,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.380870062722639,-5.059330041206132,5.859028382583705e-07,-4.693684744485641,-2.0680553809596365,525,92,0.9
Table S7,0.90 quantile recurrence model,quantile regression,loss_abs,storm_years_5yr_z,5-year storm years,-0.9171614074053983,-1.692553264257708,0.09114418121696935,-1.9817244464925579,0.14740163168176112,525,92,0.9
Table S7,0.90 quantile recurrence model,quantile regression,loss_abs,yrs_since_last_dist_z,Time since the most recent disturbance,-0.9822234080795975,-1.4787595628517995,0.13981476135701165,-2.287133741001591,0.32268692484239603,525,92,0.9
