table,model,model_family,variable,category,metric,term,beta,z,p,ci_low,ci_high,n_observations,n_reefs,r_squared,q_all,q_within_variable
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Gorgonian-like,cat_soft_coral_gorgonian_like_baseline,storm_years_5yr_z,-0.13764924645850443,-2.3850137799351003,0.017078481621868744,-0.2507670690167823,-0.02453142390022657,160,36,0.18030156626080607,0.23182234369756036,0.12613507217614872
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Xeniidae,cat_soft_coral_xeniidae_baseline,storm_years_5yr_z,-0.8561858729776324,-2.196866023522757,0.02803001603914416,-1.6200437765275535,-0.09232796942771127,333,69,0.07521390502986791,0.23182234369756036,0.12613507217614872
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,ALGAE,Unidentified Macroalgae,cat_algae_unidentified_macroalgae_baseline,storm_years_5yr_z,-0.08321466481844897,-2.1782703885432975,0.02938591236948423,-0.1580895503641331,-0.00833977927276483,417,82,0.22949262751105703,0.23182234369756036,0.20570138658638965
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,MACROALGAE,Unidentified Macroalgae,cat_macroalgae_unidentified_macroalgae_baseline,storm_years_5yr_z,-0.06671998266671064,-2.1160088966849186,0.034344050918157086,-0.1285197053809018,-0.00492025995251949,466,92,0.24114778300148965,0.23182234369756036,0.1717202545907854
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Briareum,cat_soft_coral_briareum_baseline,storm_years_5yr_z,-0.4268977356150489,-1.7767480285162223,0.07560970625104861,-0.8978166129450758,0.044021141714977896,193,37,0.13038274841633535,0.4082924137556625,0.22682911875314585
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Nephtheidae,cat_soft_coral_nephtheidae_baseline,storm_years_5yr_z,-0.06734187353162321,-1.2035905579412511,0.22874787071714664,-0.1770034572841564,0.042319710220909953,377,77,0.09372949662015873,0.7193312535917276,0.5107401344000191
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,ALGAE,Red Macroalgae,cat_algae_red_macroalgae_baseline,storm_years_5yr_z,-0.06496392409459995,-1.1230477536340298,0.2614172136942079,-0.17834018178960626,0.048412333600406365,459,91,0.2977287917030126,0.7193312535917276,0.7704250405627758
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Sarcophyton,cat_soft_coral_sarcophyton_baseline,storm_years_5yr_z,0.08942187578870901,1.071945483940406,0.28374451911112175,-0.07407865534989465,0.25292240692731266,314,62,0.06805444668267524,0.7193312535917276,0.5107401344000191
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,MACROALGAE,Other Brown Macroalgae,cat_macroalgae_other_brown_macroalgae_baseline,storm_years_5yr_z,0.04870194619823941,1.0435505542597914,0.29669337970826715,-0.042768524624579404,0.1401724170210582,466,92,0.08629398355221596,0.7193312535917276,0.49982827205558245
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,MACROALGAE,Red Macroalgae,cat_macroalgae_red_macroalgae_baseline,storm_years_5yr_z,-0.05704781618796263,-1.0366543731718287,0.29989696323334947,-0.16490600693958232,0.05081037456365706,466,92,0.28164483365711435,0.7193312535917276,0.49982827205558245
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,ALGAE,Other Brown Macroalgae,cat_algae_other_brown_macroalgae_baseline,storm_years_5yr_z,0.05054585253266918,0.9737470287772114,0.3301821602411896,-0.05119314908082951,0.15228485414616788,444,88,0.10344980820568062,0.7193312535917276,0.7704250405627758
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,HARD CORAL,Montipora,cat_hard_coral_montipora_baseline,storm_years_5yr_z,0.17603953089768382,0.9417743747887684,0.346308167361866,-0.1903233152905805,0.5424023770859481,354,74,0.31530676312866,0.7193312535917276,0.7687753268601164
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Sclerophytum,cat_soft_coral_sclerophytum_baseline,storm_years_5yr_z,0.17608529821616542,0.9417030801237545,0.3463446776552762,-0.19040054004330487,0.5425711364756357,452,86,0.03997833182899713,0.7193312535917276,0.5195170164829144
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,ALGAE,Turf algae,cat_algae_turf_algae_baseline,storm_years_5yr_z,0.5114405056488732,0.7144903448523142,0.47492402437663284,-0.8915245288386727,1.914405540136419,466,92,0.4939209553529842,0.8050290754026082,0.7783791058161058
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,HARD CORAL,Other,cat_hard_coral_other_baseline,storm_years_5yr_z,0.06719598161652286,0.6809106467871986,0.4959280308509504,-0.12622396929130958,0.2606159325243553,466,92,0.2627629532918716,0.8050290754026082,0.7687753268601164
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,ALGAE,Green Macroalgae,cat_algae_green_macroalgae_baseline,storm_years_5yr_z,0.092603104043045,0.5888154573104808,0.5559850755829328,-0.21564075492426443,0.40084696301035444,411,84,0.045679858931725215,0.8050290754026082,0.7783791058161058
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Unidentified,cat_soft_coral_unidentified_baseline,storm_years_5yr_z,0.05337215907193557,0.5456790664786666,0.5852865639345817,-0.13832936657606376,0.2450736847199349,441,86,0.15735128308476676,0.8050290754026082,0.7525112964873193
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,HARD CORAL,Merulinidae,cat_hard_coral_merulinidae_baseline,storm_years_5yr_z,0.07614866541138543,0.5388042821567273,0.5900219085863818,-0.20085106643872813,0.353148397261499,466,92,0.2580257321851642,0.8050290754026082,0.7687753268601164
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,MACROALGAE,Lobophora,cat_macroalgae_lobophora_baseline,storm_years_5yr_z,0.053568780385166305,0.5378799121508302,0.5906599574990667,-0.14162884250211483,0.24876640327244742,388,71,0.03100790343117077,0.8050290754026082,0.7383249468738334
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,HARD CORAL,Porites,cat_hard_coral_porites_baseline,storm_years_5yr_z,-0.09557952992869845,-0.529703049015412,0.5963178336315615,-0.44923510481678375,0.25807604495938685,442,88,0.12429107779578497,0.8050290754026082,0.7687753268601164
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,HARD CORAL,Pocilloporidae,cat_hard_coral_pocilloporidae_baseline,storm_years_5yr_z,-0.07907496539907087,-0.46679562577316436,0.6406461057167637,-0.411091967495494,0.2529420366973522,387,80,0.35096581488335643,0.8236878502072676,0.7687753268601164
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Other,cat_soft_coral_other_baseline,storm_years_5yr_z,-0.010894631333592262,-0.41102660059658874,0.6810530295950074,-0.06284524720051975,0.04105598453333523,466,92,0.08912112482371881,0.8358378090484182,0.7661846582943833
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,ALGAE,Other,cat_algae_other_baseline,storm_years_5yr_z,-0.005437083145021098,-0.2928740267765435,0.7696184424144619,-0.04182299029588561,0.03094882400584342,403,76,0.014055133143793808,0.871726408286975,0.8757990772285981
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,MACROALGAE,Green Macroalgae,cat_macroalgae_green_macroalgae_baseline,storm_years_5yr_z,0.03839917789933134,0.2860133215175997,0.7748679184773111,-0.22473893510637594,0.3015372909050386,466,92,0.04269092216812864,0.871726408286975,0.7748679184773111
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,ALGAE,Coralline algae,cat_algae_coralline_algae_baseline,storm_years_5yr_z,-0.11131284968643276,-0.15629680170533114,0.8757990772285981,-1.5071774740518546,1.284551774678989,466,92,0.22843601569366634,0.8824998355277924,0.8757990772285981
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Lobophytum,cat_soft_coral_lobophytum_baseline,storm_years_5yr_z,0.005474453004383528,0.15591520998748712,0.8760998560958559,-0.06334327635319434,0.07429218236196139,356,68,0.10315609955545313,0.8824998355277924,0.8760998560958559
Table S19,Prior storm recurrence predicting baseline category cover,reef-cluster robust OLS,HARD CORAL,Acropora,cat_hard_coral_acropora_baseline,storm_years_5yr_z,0.0571044145872126,0.14780098047893142,0.8824998355277924,-0.7001476387246706,0.8143564678990958,462,91,0.5303920783797718,0.8824998355277924,0.8824998355277924
