seq_category,n,mean_rel_loss,ci_lo,ci_hi,cohens_d_vs_IsoHW
S_to_H,10,0.4322444615911073,0.30187143066733796,0.5603820980104351,0.9066153226370726
S_to_S,19,0.25020731794037393,-0.018964388289322127,0.4889976035979494,0.45694384648561376
H_to_H,34,0.18605116029059213,-0.028060579458561028,0.37741890851661447,0.35526060659359376
Isolated_Storm,42,0.11413404792011729,-0.009192660103921363,0.25340920713002607,0.27509757213765024
Isolated_Heatwave,13,-0.04923946421805776,-0.3726916308640098,0.32718249967577306,0.0
