table,model,model_family,variable,category,metric,term,beta,z,p,ci_low,ci_high,n_observations,n_reefs,r_squared,q_all,q_within_variable
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,ALGAE,Unidentified Macroalgae,cat_algae_unidentified_macroalgae_baseline,heatwave_years_5yr_z,0.11728718905571187,1.6215870402818042,0.10489179938838657,-0.024474344976520318,0.259048723087944,417,82,0.2295412712755992,0.1888052388990958,0.12237376595311766
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,MACROALGAE,Unidentified Macroalgae,cat_macroalgae_unidentified_macroalgae_baseline,heatwave_years_5yr_z,0.09844536179989773,1.5879829656845903,0.11229019107515557,-0.023060578592625933,0.21995130219242137,466,92,0.24179162706585156,0.18948969743932503,0.11229019107515557
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,HARD CORAL,Acropora,cat_hard_coral_acropora_baseline,heatwave_years_5yr_z,-1.0862833167421253,-1.2638059404301043,0.20629968849786062,-2.770937668894248,0.5983710354099974,462,91,0.536638486778612,0.32765244643777863,0.3526526489569168
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,HARD CORAL,Montipora,cat_hard_coral_montipora_baseline,heatwave_years_5yr_z,-0.3328581115650263,-1.1873191279216495,0.23510176597127785,-0.8823227797300605,0.21660655660000783,354,74,0.31744138478598105,0.3526526489569168,0.3526526489569168
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Sarcophyton,cat_soft_coral_sarcophyton_baseline,heatwave_years_5yr_z,0.09855709125709632,1.0161636489407406,0.30955146355876806,-0.09153861772274847,0.2886528002369411,314,62,0.06726412595576414,0.43988892189930195,0.6964907930072282
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Gorgonian-like,cat_soft_coral_gorgonian_like_baseline,heatwave_years_5yr_z,-0.051653719795916216,-0.8229195877242937,0.4105537229476832,-0.17467841379729182,0.0713709742054594,160,36,0.14244413688102742,0.5542475259793723,0.7389967013058297
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,HARD CORAL,Porites,cat_hard_coral_porites_baseline,heatwave_years_5yr_z,-0.14989459522850265,-0.6688307064202684,0.5036034766572172,-0.5891507557261176,0.2893615652691123,442,88,0.12464143579039122,0.6474901842735649,0.5428011997666826
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,HARD CORAL,Merulinidae,cat_hard_coral_merulinidae_baseline,heatwave_years_5yr_z,-0.17851167108793495,-0.6085825108328521,0.5428011997666826,-0.7534155500600774,0.3963922078842075,466,92,0.25938769959000585,0.666165108804565,0.5428011997666826
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Unidentified,cat_soft_coral_unidentified_baseline,heatwave_years_5yr_z,-0.08462098948847584,-0.5552481653774932,0.5787249281192222,-0.38332362747161425,0.21408164849466255,441,86,0.15749754815612838,0.6793727417051738,0.8680873921788332
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Xeniidae,cat_soft_coral_xeniidae_baseline,heatwave_years_5yr_z,-0.11573428587653378,-0.2832114092194555,0.7770147829549473,-0.9166731771437935,0.6852046053907259,333,69,0.061229701246802826,0.8688682276683795,0.9050710704878953
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Nephtheidae,cat_soft_coral_nephtheidae_baseline,heatwave_years_5yr_z,-0.021806319656569675,-0.24751766995459615,0.8045076182114624,-0.19447924910877573,0.15086660979563637,377,77,0.09047735860881134,0.8688682276683795,0.9050710704878953
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,ALGAE,Coralline algae,cat_algae_coralline_algae_baseline,heatwave_years_5yr_z,0.1001864817070699,0.13473059286723207,0.8928248841070335,-1.3572545619699172,1.557627525384057,466,92,0.22837587473635457,0.9271643027265348,0.8928248841070335
Table S14,Prior heatwave recurrence predicting baseline category cover,reef-cluster robust OLS,SOFT CORAL,Sclerophytum,cat_soft_coral_sclerophytum_baseline,heatwave_years_5yr_z,-0.02049700990849318,-0.08876486214465391,0.9292687833679203,-0.4730792619480386,0.43208524213105226,452,86,0.0364270185252108,0.9292687833679203,0.9292687833679203
