table,model,model_family,response,term,label,beta,z,p,ci_low,ci_high,n_observations,n_reefs,response_label,random_intercept_variance,singular_or_boundary_warning
Table S4,Cumulative-load comparison,OLS with reef-cluster robust standard errors,loss_abs,baseline_hc_z,Baseline hard-coral cover,6.493193626031831,9.574863270443714,1.0199216978449805e-21,5.164044029613869,7.822343222449792,525,92,,,
Table S4,Cumulative-load comparison,OLS with reef-cluster robust standard errors,loss_abs,recent_max_dhw_z,Event-year maximum DHW,2.356723885600043,2.5671365516854583,0.010254222262344296,0.557406301870925,4.156041469329161,525,92,,,
Table S4,Cumulative-load comparison,OLS with reef-cluster robust standard errors,loss_abs,recent_max_wind_z,Event-year maximum wind speed,3.3655140213706956,3.1897367432703123,0.001424024489084639,1.2975420217165126,5.433486021024878,525,92,,,
Table S4,Cumulative-load comparison,OLS with reef-cluster robust standard errors,loss_abs,yrs_since_last_dist_z,Time since the most recent disturbance,-0.09856971625145186,-0.17127800744331742,0.8640051724422538,-1.226520097640103,1.0293806651371993,525,92,,,
Table S4,Cumulative-load comparison,OLS with reef-cluster robust standard errors,loss_abs,cumulative_dhw_5yr_z,5-year cumulative DHW,-1.3874816955996045,-2.446191209820726,0.014437440998528863,-2.4991749032549,-0.2757884879443089,525,92,,,
Table S4,Cumulative-load comparison,OLS with reef-cluster robust standard errors,loss_abs,cumulative_wind_5yr_z,5-year cumulative wind,-0.5092625767674867,-0.9571173964328118,0.3385080038976409,-1.5521192972266533,0.5335941436916801,525,92,,,
Table S4,Cumulative-load comparison,GEE,loss_abs,baseline_hc_z,Baseline hard-coral cover,8.371498779095315,12.868105469452267,6.805088765670339e-38,7.0964209409008285,9.646576617289803,525,92,,,
Table S4,Cumulative-load comparison,GEE,loss_abs,recent_max_dhw_z,Event-year maximum DHW,2.485091530971324,3.1306833429044705,0.001744000987981117,0.9293002338321665,4.040882828110481,525,92,,,
Table S4,Cumulative-load comparison,GEE,loss_abs,recent_max_wind_z,Event-year maximum wind speed,3.548168453730656,3.101471990599287,0.0019256108857214234,1.3059162581693138,5.790420649291999,525,92,,,
Table S4,Cumulative-load comparison,GEE,loss_abs,yrs_since_last_dist_z,Time since the most recent disturbance,-0.48086079014416794,-0.760523739577014,0.4469415845725233,-1.7200986747948461,0.7583770945065103,525,92,,,
Table S4,Cumulative-load comparison,GEE,loss_abs,cumulative_dhw_5yr_z,5-year cumulative DHW,-2.258625125202481,-3.959282484909305,7.517527661431966e-05,-3.376712535445839,-1.140537714959123,525,92,,,
Table S4,Cumulative-load comparison,GEE,loss_abs,cumulative_wind_5yr_z,5-year cumulative wind,-0.6434021655521498,-1.2067982143891114,0.22750986390216543,-1.6883532244958688,0.4015488933915692,525,92,,,
Table S4,Consecutive-run comparison,OLS with reef-cluster robust standard errors,loss_abs,baseline_hc_z,Baseline hard-coral cover,6.518141661926528,9.49016832626607,2.306614954418728e-21,5.171977667327232,7.864305656525824,525,92,,,
Table S4,Consecutive-run comparison,OLS with reef-cluster robust standard errors,loss_abs,recent_max_dhw_z,Event-year maximum DHW,2.6705520545605745,2.7571174033045933,0.005831341024146281,0.7721251542390131,4.568978954882136,525,92,,,
Table S4,Consecutive-run comparison,OLS with reef-cluster robust standard errors,loss_abs,recent_max_wind_z,Event-year maximum wind speed,3.3328054564442633,3.212563993132906,0.0013155583717550877,1.299482952652168,5.3661279602363585,525,92,,,
Table S4,Consecutive-run comparison,OLS with reef-cluster robust standard errors,loss_abs,yrs_since_last_dist_z,Time since the most recent disturbance,-0.8552068639426392,-1.2791384040933835,0.2008483218761452,-2.1656003657678333,0.455186637882555,525,92,,,
Table S4,Consecutive-run comparison,OLS with reef-cluster robust standard errors,loss_abs,max_consecutive_heatwave_5yr_z,Maximum consecutive heatwave years,-2.2911766881950824,-3.716144889081106,0.00020228561092369368,-3.4995859201049067,-1.082767456285258,525,92,,,
Table S4,Consecutive-run comparison,OLS with reef-cluster robust standard errors,loss_abs,max_consecutive_storm_5yr_z,Maximum consecutive storm years,-1.0811517747284125,-1.9633937041075336,0.04960044482042867,-2.1604149586003687,-0.001888590856456318,525,92,,,
Table S4,Consecutive-run comparison,GEE,loss_abs,baseline_hc_z,Baseline hard-coral cover,8.402102072730305,13.284872351681425,2.833412139061201e-40,7.162510376172042,9.641693769288567,525,92,,,
Table S4,Consecutive-run comparison,GEE,loss_abs,recent_max_dhw_z,Event-year maximum DHW,2.956688598565146,3.522099989518358,0.0004281426262384738,1.3113624624720164,4.602014734658276,525,92,,,
Table S4,Consecutive-run comparison,GEE,loss_abs,recent_max_wind_z,Event-year maximum wind speed,3.3978996633799112,3.036486404190675,0.0023935290277424404,1.2046538928359634,5.5911454339238595,525,92,,,
Table S4,Consecutive-run comparison,GEE,loss_abs,yrs_since_last_dist_z,Time since the most recent disturbance,-1.183995222320302,-1.749598029044415,0.08018770008037884,-2.510350165051194,0.14235972041058975,525,92,,,
Table S4,Consecutive-run comparison,GEE,loss_abs,max_consecutive_heatwave_5yr_z,Maximum consecutive heatwave years,-2.8300040349403464,-4.211398409568521,2.5379468502362236e-05,-4.147073911773585,-1.5129341581071072,525,92,,,
Table S4,Consecutive-run comparison,GEE,loss_abs,max_consecutive_storm_5yr_z,Maximum consecutive storm years,-1.1704544975976792,-2.2838178067816792,0.022382240715440975,-2.174934213108398,-0.1659747820869606,525,92,,,
Table S4,Response-metric sensitivity,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.622107766233771,-4.321500168874825,1.549719332985489e-05,-3.8113329391067943,-1.4328825933607476,525,92,Absolute loss,,
Table S4,Response-metric sensitivity,OLS with reef-cluster robust standard errors,positive_loss,heatwave_years_5yr_z,5-year heatwave years,-2.6889581799100517,-5.564870781974687,2.623467393955151e-08,-3.6360172213578985,-1.741899138462205,525,92,Positive loss,,
Table S4,Response-metric sensitivity,OLS with reef-cluster robust standard errors,rel_loss_clipped,heatwave_years_5yr_z,5-year heatwave years,-0.06791610739037002,-2.801303777616101,0.005089658317611179,-0.1154343828158787,-0.020397831964861328,525,92,Clipped relative loss,,
Table S4,Cumulative-load LMM sensitivity,linear mixed-effects model,loss_abs,baseline_hc_z,Baseline hard-coral cover,8.167237367329408,18.242890367731462,2.3566074724354848e-74,7.289772734780288,9.044701999878528,525,92,,22.770720540520564,False
Table S4,Cumulative-load LMM sensitivity,linear mixed-effects model,loss_abs,recent_max_dhw_z,Event-year maximum DHW,2.4851068394104394,3.494822844458491,0.0004743765085934348,1.0914110442997365,3.8788026345211426,525,92,,22.770720540520564,False
Table S4,Cumulative-load LMM sensitivity,linear mixed-effects model,loss_abs,recent_max_wind_z,Event-year maximum wind speed,3.5270442854528237,3.279055908156615,0.001041549990845462,1.4188521823021478,5.6352363886034995,525,92,,22.770720540520564,False
Table S4,Cumulative-load LMM sensitivity,linear mixed-effects model,loss_abs,yrs_since_last_dist_z,Time since the most recent disturbance,-0.4476041373915735,-0.898412696987894,0.36896556983212514,-1.4240907693813967,0.5288824945982498,525,92,,22.770720540520564,False
Table S4,Cumulative-load LMM sensitivity,linear mixed-effects model,loss_abs,cumulative_dhw_5yr_z,5-year cumulative DHW,-2.1030608146653105,-3.634577468398075,0.00027843658594651675,-3.237146823253867,-0.9689748060767538,525,92,,22.770720540520564,False
Table S4,Cumulative-load LMM sensitivity,linear mixed-effects model,loss_abs,cumulative_wind_5yr_z,5-year cumulative wind,-0.6512516492451529,-1.4768174019849731,0.1397245905432583,-1.5155628197914757,0.2130595213011699,525,92,,22.770720540520564,False
