section,diagnostic,term,label,value,n_observations,n_reefs,note,full_value,subset_value
Ecological-sample representativeness,Baseline juvenile density available,loss_abs,Absolute hard-coral cover loss,-0.027105436183495382,410,91,Value is standardized mean difference; positive values indicate higher mean in the subset.,4.372771266051399,4.056137407203991
Ecological-sample representativeness,Baseline juvenile density available,recent_max_dhw,Event-year maximum DHW,0.21776416363387102,410,91,Value is standardized mean difference; positive values indicate higher mean in the subset.,4.724914285714285,5.416048780487805
Ecological-sample representativeness,Baseline juvenile density available,recent_max_wind,Event-year maximum wind speed,-0.09854228538668713,410,91,Value is standardized mean difference; positive values indicate higher mean in the subset.,12.346564416928052,10.81187846157757
Ecological-sample representativeness,Baseline juvenile density available,heatwave_years_5yr,5-year heatwave years,0.1791250359970315,410,91,Value is standardized mean difference; positive values indicate higher mean in the subset.,0.979047619047619,1.1878048780487804
Ecological-sample representativeness,Baseline juvenile density available,storm_years_5yr,5-year storm years,0.030403948292449728,410,91,Value is standardized mean difference; positive values indicate higher mean in the subset.,0.30095238095238097,0.3170731707317073
Ecological-sample representativeness,Baseline juvenile density available,cumulative_dhw_5yr,5-year cumulative DHW,0.20822469535643404,410,91,Value is standardized mean difference; positive values indicate higher mean in the subset.,10.003161904761905,11.59729268292683
Ecological-sample representativeness,Baseline juvenile density available,cumulative_wind_5yr,5-year cumulative wind,0.04988975233455868,410,91,Value is standardized mean difference; positive values indicate higher mean in the subset.,8.479800653016884,9.27070442420259
Ecological-sample representativeness,Baseline juvenile density available,event_year,Study event year,0.4995308495447129,410,91,Value is standardized mean difference; positive values indicate higher mean in the subset.,2014.7733333333333,2018.6829268292684
Ecological-sample representativeness,Baseline juvenile density available,event_type=Concurrent,Study event type: Concurrent,0.02160278745644599,410,91,Value is subset proportion minus full-sample proportion.,0.08571428571428572,0.1073170731707317
Ecological-sample representativeness,Baseline juvenile density available,event_type=Heatwave_Only,Study event type: Heatwave_Only,0.08276422764227642,410,91,Value is subset proportion minus full-sample proportion.,0.5733333333333334,0.6560975609756098
Ecological-sample representativeness,Baseline juvenile density available,event_type=Storm_Only,Study event type: Storm_Only,-0.10436701509872243,410,91,Value is subset proportion minus full-sample proportion.,0.34095238095238095,0.23658536585365852
Ecological-sample representativeness,Baseline juvenile density available,sector=Central,GBR sector: Central,-0.03089430894308942,410,91,Value is subset proportion minus full-sample proportion.,0.5333333333333333,0.5024390243902439
Ecological-sample representativeness,Baseline juvenile density available,sector=North,GBR sector: North,0.004529616724738672,410,91,Value is subset proportion minus full-sample proportion.,0.08571428571428572,0.09024390243902439
Ecological-sample representativeness,Baseline juvenile density available,sector=North-Central,GBR sector: North-Central,0.016492450638792094,410,91,Value is subset proportion minus full-sample proportion.,0.0761904761904762,0.09268292682926829
Ecological-sample representativeness,Baseline juvenile density available,sector=South,GBR sector: South,0.009872241579558627,410,91,Value is subset proportion minus full-sample proportion.,0.3047619047619048,0.3146341463414634
Ecological-sample representativeness,Baseline macroalgae available,sample_size,Sample size retained,0.8609523809523809,452,89,Value is retained fraction of full event-year matrix.,,
Ecological-sample representativeness,Baseline macroalgae available,baseline_hc,Baseline hard-coral cover,-0.006792871366526943,452,89,Value is standardized mean difference; positive values indicate higher mean in the subset.,25.171889343538023,25.081787725953586
Ecological-sample representativeness,Baseline macroalgae available,loss_abs,Absolute hard-coral cover loss,-0.0014502419321307087,452,89,Value is standardized mean difference; positive values indicate higher mean in the subset.,4.372771266051399,4.3556514996495705
Ecological-sample representativeness,Baseline macroalgae available,recent_max_dhw,Event-year maximum DHW,0.04420735112677589,452,89,Value is standardized mean difference; positive values indicate higher mean in the subset.,4.724914285714285,4.8691150442477875
Ecological-sample representativeness,Baseline macroalgae available,recent_max_wind,Event-year maximum wind speed,-0.03613327156969469,452,89,Value is standardized mean difference; positive values indicate higher mean in the subset.,12.346564416928052,11.789658858276189
Ecological-sample representativeness,Baseline macroalgae available,heatwave_years_5yr,5-year heatwave years,0.04496400650787215,452,89,Value is standardized mean difference; positive values indicate higher mean in the subset.,0.979047619047619,1.0309734513274336
Ecological-sample representativeness,Baseline macroalgae available,storm_years_5yr,5-year storm years,-0.00012919240572190522,452,89,Value is standardized mean difference; positive values indicate higher mean in the subset.,0.30095238095238097,0.3008849557522124
