scenario_group,scenario_name,metric_group,metric_name,seq_category,value,ci_lo,ci_hi
rule,storm_priority,model_coef,baseline_hc_c,,0.019479435387626223,0.013128616857204997,0.025830253918047448
rule,storm_priority,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",,-0.450905799377804,-0.9309839695557849,0.029172370800176817
rule,storm_priority,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",,0.08704744818649006,-0.5476979967706767,0.7217928931436567
rule,storm_priority,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",,0.08017205420163212,-0.5231383205117655,0.6834824289150296
rule,storm_priority,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",,-0.3151184367110463,-1.1935570497493007,0.563320176327208
window,window_1_3,sample,retained_sequences,,118.0,,
window,window_1_3,sample,retained_reefs,,66.0,,
window,window_1_3,hierarchy,count,Isolated_Storm,47.0,,
window,window_1_3,hierarchy,mean_rel_loss,Isolated_Storm,0.0552834695778813,,
window,window_1_3,hierarchy,rank,Isolated_Storm,4.0,,
window,window_1_3,hierarchy,count,Isolated_Heatwave,28.0,,
window,window_1_3,hierarchy,mean_rel_loss,Isolated_Heatwave,0.12405729371477411,,
window,window_1_3,hierarchy,rank,Isolated_Heatwave,3.0,,
window,window_1_3,hierarchy,count,Concurrent,,,
window,window_1_3,hierarchy,mean_rel_loss,Concurrent,,,
window,window_1_3,hierarchy,rank,Concurrent,,,
window,window_1_3,hierarchy,count,S_to_H,9.0,,
window,window_1_3,hierarchy,mean_rel_loss,S_to_H,0.451436597323808,,
window,window_1_3,hierarchy,rank,S_to_H,2.0,,
window,window_1_3,hierarchy,count,S_to_S,15.0,,
window,window_1_3,hierarchy,mean_rel_loss,S_to_S,0.46482626631264,,
window,window_1_3,hierarchy,rank,S_to_S,1.0,,
window,window_1_3,hierarchy,count,H_to_H,19.0,,
window,window_1_3,hierarchy,mean_rel_loss,H_to_H,0.0020387382216323345,,
window,window_1_3,hierarchy,rank,H_to_H,5.0,,
window,window_1_3,hierarchy,count,H_to_S,,,
window,window_1_3,hierarchy,mean_rel_loss,H_to_S,,,
window,window_1_3,hierarchy,rank,H_to_S,,,
window,window_1_3,contrast,S_to_H_minus_Isolated_Heatwave,,0.3273793036090339,,
window,window_1_3,contrast,S_to_H_minus_H_to_H,,0.44939785910217567,,
window,window_1_3,model_status,model_ran,,1.0,,
window,window_1_3,sample,model_events,,118.0,,
window,window_1_3,sample,model_reefs,,66.0,,
window,window_1_3,model_status,reference_category,Isolated_Heatwave,,,
window,window_1_3,adjusted_mean,adjusted_mean,H_to_H,-0.15535161369758274,-0.6950973114889114,0.38060069209732483
window,window_1_3,adjusted_mean,adjusted_mean,Isolated_Heatwave,0.38108930899161225,-0.11377356409506251,0.8688622543728333
window,window_1_3,adjusted_mean,adjusted_mean,Isolated_Storm,0.18434289947132665,-0.08235799814246045,0.45220430126466754
window,window_1_3,adjusted_mean,adjusted_mean,S_to_H,0.2817704037409725,0.045840285005374334,0.5201560926771716
window,window_1_3,adjusted_mean,adjusted_mean,S_to_S,-0.11819221395621284,-0.6949552669453115,0.4554005372976578
window,window_1_3,model_coef,storm_exposure_seq_c,,0.012291629679983502,-0.0007713083371370128,0.025354567697104015
window,window_1_3,model_coef,heat_exposure_seq_c,,0.06319124887147812,0.013428195161929175,0.11295430258102707
window,window_1_3,model_coef,baseline_hc_c,,0.020466318571144244,0.012834512918411648,0.02809812422387684
window,window_1_3,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",,-0.536440922689195,-1.06105440534359,-0.011827440034799963
window,window_1_3,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",,-0.19674640952028566,-0.8872768676023824,0.49378404856181113
window,window_1_3,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",,-0.09931890525063967,-0.7397037015059862,0.5410658910047068
