,Coefficient,StdErr,P-value,CI_lower,CI_upper,P-value_FDR,Significant_FDR,model_name
Intercept,0.33860674911517474,0.24952472990087868,0.1747790576848981,-0.1504527347426322,0.8276662329729817,,,ecological_pressure
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",-0.4623588770328516,0.2590962878196715,0.07434148270161904,-0.9701782696874316,0.04546051562172837,0.1441812316159295,False,ecological_pressure
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",0.07010742956844526,0.3484038731352331,0.8405229578616675,-0.6127516138508736,0.7529664729877642,0.933914397624075,False,ecological_pressure
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",0.011407638963352652,0.2958513635600427,0.9692422439109345,-0.5684503783913969,0.5912656563181021,0.9692422439109345,False,ecological_pressure
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",-0.3667062319731564,0.45881014676796456,0.42414265702102116,-1.2659575953799032,0.5325451314335905,0.5301783212762764,False,ecological_pressure
storm_exposure_seq_c,0.012062604571512809,0.005732466613005481,0.035355706680069994,0.000827176467443758,0.023298032675581858,0.11785235560023331,False,ecological_pressure
heat_exposure_seq_c,0.07103983846766497,0.022926254386162928,0.001944216942713281,0.026105205570382185,0.11597447136494776,0.009721084713566405,True,ecological_pressure
baseline_hc_c,0.021174035286696164,0.0032985261919307924,1.3695525293588136e-10,0.014709042748449757,0.02763902782494257,1.3695525293588134e-09,True,ecological_pressure
start_year_c,-0.008688762383927304,0.009038295550129886,0.3363875072361312,-0.026403496143810518,0.009025971375955908,0.48055358176590174,False,ecological_pressure
region_lat_c,0.023158028350042728,0.013510243829371126,0.08650873896955769,-0.0033215629778791805,0.04963761967796464,0.1441812316159295,False,ecological_pressure
cots_lag_3yr_c,0.03734932073455501,0.020301800763621734,0.06581158542556793,-0.002441477583451354,0.07714011905256138,0.1441812316159295,False,ecological_pressure
