seq_category,adjusted_mean,ci_lo,ci_hi,n_events
H_to_H,-0.00532354836128971,-0.47253047868056214,0.4814085042964815,34
Isolated_Heatwave,0.4467325151734542,-0.03258978699878276,0.9150808819578848,13
Isolated_Storm,0.32183053039254544,0.04113753964552378,0.6098835182216367,42
S_to_H,0.327879552786604,0.12729402297856615,0.5201543286194297,10
S_to_S,-0.15087156699239518,-0.6605483893372636,0.3740985228008607,19
