reef_name,start_year,seq_category_main,baseline_hc,nadir_hc,final_hc,recovery_rate,recovery_pct,nadir_year,final_year,drop_abs,impact_flag,recovery_gain_abs,recovery_observed_flag,recovery_frac_loss,recovered_flag,fate_status,regime_shift_status,recovered_above_baseline
Agincourt_Reef_No_1,1999,Isolated_Storm,24.01114315145417,35.806982350624786,37.20363552028287,0.3491632924145218,0.05816687530653878,1999,2003.0,-11.795839199170615,0,1.3966531696580873,1,,,non_impact,False,True
Agincourt_Reef_No_1,2014,S_to_H,26.941623676363573,12.949162076156034,23.91429529595699,2.741283304950239,0.40699600556817545,2017,2021.0,13.99246160020754,1,10.965133219800956,1,0.7836457610602496,1.0,recovered,False,False
Arlington_Reef,2016,H_to_H,16.73965874852992,10.813158237339104,,,,2018,,5.926500511190815,1,,0,,,recovery_unobserved,False,False
Border_Island,2003,Isolated_Storm,26.10857843964611,25.9025307125706,25.674580727897983,-0.05698749616815402,-0.008730846269533847,2005,2009.0,0.20604772707551078,0,-0.22794998467261607,1,,,non_impact,False,False
Border_Island,2010,S_to_S,25.04682895148403,29.175529693036413,33.36956898999796,1.0485098242403863,0.16744791546608329,2013,2017.0,-4.128700741552382,0,4.194039296961545,1,,,non_impact,False,True
Border_Island,2017,Concurrent,30.009495133233777,18.946700216452733,17.679960162084726,-0.31668501359200185,-0.04221130841235533,2019,2023.0,11.062794916781044,1,-1.2667400543680074,1,-0.11450452294351963,0.0,failed,True,False
Boult_Reef,2017,Isolated_Heatwave,13.194587944869662,27.13760920513279,,,,2020,,-13.943021260263128,0,,0,,,non_impact,False,False
Boult_Reef,2024,Isolated_Heatwave,44.127142534524594,22.22131554683403,,,,2026,,21.905826987690563,1,,0,,,recovery_unobserved,False,False
Broomfield_Reef,1992,S_to_S,34.135588652341404,17.412699846744868,50.61824559788093,8.301386437784014,0.9727544495957724,1995,1999.0,16.722888805596536,1,33.20554575113606,1,1.985634547783597,1.0,recovered,False,True
Broomfield_Reef,2020,H_to_H,53.179332495792664,16.127130702547838,,,,2026,,37.052201793244826,1,,0,,,recovery_unobserved,False,False
Carter_Reef,2005,Isolated_Storm,58.78536770624057,16.49121291721926,35.56977531069306,6.3595207978246,0.32454610965116826,2006,2009.0,42.294154789021306,1,19.0785623934738,1,0.4510921778350847,0.0,failed,True,False
Carter_Reef,2014,S_to_S,38.56169728888344,8.104976487662167,21.09589460917397,3.247729530377951,0.3368865748877922,2017,2021.0,30.45672080122127,1,12.990918121511804,1,0.42653699347012064,0.0,failed,True,False
Chicken_Reef,2000,Isolated_Storm,37.02172904051393,28.341773810864595,13.12926593049824,-3.8031269700915886,-0.4109075473951763,2003,2007.0,8.679955229649337,1,-15.212507880366354,1,-1.7526021134766758,0.0,failed,True,False
Chicken_Reef,2016,H_to_H,9.995342524444386,25.00060267131752,44.55431412108499,4.888427862441868,1.956282278666024,2017,2021.0,-15.005260146873134,0,19.553711449767473,1,,,non_impact,False,True
