seq_category_main,n_events,unique_gap_years,spearman_rho,spearman_p,short_gap_threshold,short_gap_n,long_gap_n,short_gap_mean_rel_loss,long_gap_mean_rel_loss,short_minus_long_diff,short_long_permutation_p
S_to_H,10,4,0.027417204038422165,0.9400699293286143,2,7,3,0.45435397583220066,0.38065559502855634,0.07369838080364433,0.325
S_to_S,19,4,-0.6142690427854645,0.00514009469974984,2,14,5,0.4898961095726405,-0.42092129862997235,0.9108174082026128,0.001977984176126591
H_to_H,34,4,0.3254204073514861,0.060378878352350424,2,12,22,-0.03738837403264891,0.3079272699214509,-0.34531564395409986,0.9428028598570072
