match_id,match_role,reef_name,seq_category_main,start_year,sector,propensity_score,storm_exposure_seq,heat_exposure_seq,baseline_hc,start_year,region_lat,rel_loss,drop_abs
1,control,Helix_Reef,Isolated_Heatwave,2017,Central,0.055870918378214666,0.0,5.41,11.673460775832382,2017,-18.62361111111111,-1.0,-19.39438142750329
1,treated,Myrmidon_Reef,S_to_H,2000,Central,0.05584407716293588,20.948618644133813,4.03,32.56810937352465,2000,-18.26536388888889,0.2595152399968019,8.451920720312344
2,control,Reef_13_124,Isolated_Storm,2005,North,0.08898950520181496,29.976776538560475,0.0,21.10208671715154,2005,-13.868169444444446,0.0407641488603457,0.8602086042018904
2,treated,Rebe_Reef,S_to_H,2003,Central,0.0891949064927934,29.117304,5.15,19.54006489054452,2003,-19.7981,0.073165049409378,1.4296498131791466
3,control,Reef_21_064,Isolated_Storm,2015,South,0.09103679778414797,41.000868,1.13,20.396880098977768,2015,-21.05777777777778,0.6393140714907714,13.040012461786564
3,treated,St_Crispin_Reef,S_to_H,2014,Central,0.09205627104952792,19.993910025930884,5.82,25.656656670150973,2014,-16.10346388888889,0.4992064058143106,12.807967361517829
4,control,Turner_Cay,Isolated_Storm,2009,South,0.09831661580087807,42.338412,1.21,12.763918653078935,2009,-21.71815277777777,-0.5395923575915436,-6.887312958121544
4,treated,Agincourt_Reef_No_1,S_to_H,2014,Central,0.09776094103492727,19.80906675466956,6.890000000000001,26.941623676363573,2014,-16.05227777777778,0.519362224351883,13.99246160020754
5,control,Reef_20_104,S_to_S,2009,South,0.09983756249548914,57.92979168760901,1.5799999999999998,45.82304777822262,2009,-20.031713888888888,0.6662113074800333,30.52783257304973
5,treated,Pompey_Reef_No_1,S_to_H,2015,South,0.09992873788853388,41.000868,5.38,35.10781833645442,2015,-20.93496111111111,0.7436199455029752,26.106873958082588
6,control,Fitzroy_Island,H_to_H,2017,Central,0.11650360453919871,0.0,15.57,22.20565903560996,2017,-16.933977777777777,-0.477157482734612,-10.595596367894746
6,treated,Reef_21_591,S_to_H,2015,South,0.11605841940585489,41.000868,5.57,26.548709731526,2015,-21.02861111111111,0.5437889632628616,14.43689534087317
7,control,Arlington_Reef,H_to_H,2016,Central,0.1272129397308004,0.0,15.45,16.73965874852992,2016,-16.67,0.354039505835881,5.926500511190815
7,treated,Mackay_Reef,S_to_H,2014,Central,0.127732276555782,24.80804457444268,9.13,29.34972297544556,2014,-16.044722222222223,0.5241519393605361,15.383714217274273
8,control,Thetford_Reef,H_to_H,2017,Central,0.13089187484945536,0.0,17.11,22.68636737517804,2017,-16.80611111111111,0.3008772537225692,6.825811912784861
8,treated,Tern_Island,S_to_H,2015,South,0.13477175238719402,38.59638811474957,6.359999999999999,17.471570750950494,2015,-20.91027777777777,0.1678531815028548,2.9326587363992638
9,control,Michaelmas_Cay,H_to_H,2016,Central,0.14568823762163052,0.0,16.44,13.258722097299778,2016,-16.565555555555555,0.3698609335889098,4.903883333103204
9,treated,Low_Isles,S_to_H,2014,Central,0.13947441266444682,22.26294236357387,11.54,29.571445536746666,2014,-16.384999999999998,0.358299605728331,10.595437276633143
10,control,Green_Island,S_to_S,2006,Central,0.16540160103928606,43.52291301656869,2.38,5.503018237846888,2006,-16.765555555555554,-0.6412903027315895,-3.5290322316862888
10,treated,Reef_21_060,S_to_H,2015,South,0.16497327631077946,41.000868,5.7,5.086118172395081,2015,-21.01388888888889,0.6334820609811412,3.221964622242472
