term,Coefficient,StdErr,P_value,CI_lower,CI_upper,OddsRatio,OR_CI_lower,OR_CI_upper,model_name,sample_scope,n_events,n_reefs
Intercept,1.087125818830675,0.6582001589337685,0.09860296880514745,-0.2029227872980508,2.3771744249594007,2.9657377433860725,0.8163412709074798,10.774415891980015,fate_recovery_glm,supplement_only,35,32
"C(disturbance_group, Treatment(reference='Heat-linked'))[T.Storm-linked]",-0.7363037380327665,0.8107806662804843,0.36380335776110595,-2.325404643303904,0.8527971672383713,0.4788807168096613,0.09774388463974727,2.3462003968571556,fate_recovery_glm,supplement_only,35,32
baseline_hc_c,-0.04634139882811546,0.030077154303421658,0.12337745377403292,-0.1052915380202758,0.012608740364044892,0.9547159676342677,0.9000620820149062,1.012688565676896,fate_recovery_glm,supplement_only,35,32
Intercept,0.9275278134403828,0.5553259074586294,0.09487179282132537,-0.16089096486055388,2.0159465917413195,2.5282511368031924,0.8513848969173793,7.507830869317074,fate_recovery_glm,strict_plus_supplement,80,46
"C(disturbance_group, Treatment(reference='Heat-linked'))[T.Storm-linked]",-0.5079974323687368,0.6241865636625686,0.41572795229717185,-1.731380616781189,0.7153857520437152,0.6016993167021025,0.17703981702184612,2.044975383560763,fate_recovery_glm,strict_plus_supplement,80,46
baseline_hc_c,-0.05444486783801067,0.023941105185843217,0.02295896906207712,-0.1013685717523485,-0.007521163923672844,0.9470107181669254,0.9035999300938384,0.9925070492534239,fate_recovery_glm,strict_plus_supplement,80,46
