seq_category_main,n_events,non_missing_juv_loss,non_missing_juv_change,non_missing_juv_recovery,mean_juv_loss,mean_juv_change_nadir,mean_juv_recovery_rate,mean_heat_exposure_seq,mean_storm_exposure_seq,mean_rel_loss
H_to_H,34,21,21,7,0.3467037783095234,-0.20951305345985377,0.42636774173779085,14.37,0.0,0.18605116029059215
Isolated_Heatwave,13,11,11,5,0.21915909282700996,-0.01074172729912213,-0.04716513067766797,6.266153846153847,0.0,-0.04923946421805777
Isolated_Storm,42,15,15,13,0.30249001357850497,0.22966753571875537,1.0042305587460347,0.6954761904761905,27.05851240326977,0.11413404792011732
S_to_H,10,7,7,4,0.0,0.4914166149054725,0.24572206101149796,6.557,29.853887847750038,0.4322444615911073
S_to_S,19,10,10,10,0.3565686459392737,-0.26430643531066667,0.7301693504671978,2.0957894736842104,56.62548231619772,0.25020731794037393
