,Coefficient,StdErr,P-value,CI_lower,CI_upper,P-value_FDR,Significant_FDR,model_name
Intercept,1.0821491534774432,0.34193006385119756,0.0015517572301479536,0.41197854309761495,1.7523197638572716,,,biological_covariates
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",-1.2174942127562633,0.31374473513532625,0.0001042313331224792,-1.8324225939605614,-0.6025658315519654,0.00038218155478242377,True,biological_covariates
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",-0.8280371477138037,0.46161014993473926,0.07284479922798885,-1.7327764164840271,0.07670212105641971,0.10016159893848467,False,biological_covariates
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",-0.9930306418861551,0.42118235904692963,0.018387489211164208,-1.8185328965417549,-0.1675283872305552,0.02889462590325804,True,biological_covariates
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",-1.581068769051432,0.6644271760308281,0.01733159118361881,-2.88332210442151,-0.2788154336813542,0.02889462590325804,True,biological_covariates
storm_exposure_seq_c,0.023207570405466213,0.009559484206810819,0.015194859930433248,0.004471325649337565,0.04194381516159486,0.02889462590325804,True,biological_covariates
heat_exposure_seq_c,0.11565161078265881,0.025228504641962295,4.558056971035772e-06,0.06620465030061115,0.16509857126470648,2.5069313340696746e-05,True,biological_covariates
baseline_hc_c,0.02593303884060857,0.004206761702879109,7.065774715763534e-10,0.01768793741142313,0.034178140269794016,7.772352187339886e-09,True,biological_covariates
start_year_c,-0.04804101906044548,0.015167602239717685,0.001538380445912917,-0.0777689731821212,-0.018313064938769757,0.0042305462262605216,True,biological_covariates
region_lat_c,0.02726668100097511,0.03122211017382866,0.3824923867141683,-0.03392753046107067,0.08846089246302088,0.4207416253855851,False,biological_covariates
cots_lag_3yr_c,0.003522564236364506,0.018907142386973497,0.8522027218971885,-0.03353475389267422,0.040579882365403226,0.8522027218971885,False,biological_covariates
initial_herbivore_c,0.005663173930389085,0.00345453963459491,0.10114193207074632,-0.0011075993365830972,0.012433947197361267,0.1236179169753566,False,biological_covariates
