table,heatwave_group,metric,label,n_observations,n_reefs,mean,median,q25,q75
Table S11,0 prior heatwave years,baseline_hc,Baseline hard-coral cover,212,83,26.418493960668723,24.657074168111492,16.248297470188746,35.02510179868451
Table S11,0 prior heatwave years,loss_abs,Absolute hard-coral cover loss,212,83,7.113454172542044,4.195601429629079,-1.3049922625178265,13.11243701133843
Table S11,0 prior heatwave years,modelled_hard_coral_sum_baseline,Modelled hard-coral sum,212,83,26.184554943889374,24.421654341589964,16.097253644663844,34.87640429323808
Table S11,0 prior heatwave years,macroalgae_sum_baseline,Macroalgae cover,212,83,2.480553749450796,1.5744618855510883,0.6361085936671873,3.0257344190898414
Table S11,0 prior heatwave years,acropora_cover_baseline,Acropora cover,212,83,8.603739997912239,5.498261540135402,2.2580092114465873,10.999720269729407
Table S11,0 prior heatwave years,acropora_prop_baseline,Acropora proportion,212,83,0.2805419770253408,0.24244405600924424,0.1333624909361582,0.3888556656074427
Table S11,0 prior heatwave years,pocilloporidae_cover_baseline,Pocilloporidae cover,185,74,3.11406804188018,2.7235246491546885,1.7247264422216892,4.186449788812703
Table S11,0 prior heatwave years,pocilloporidae_prop_baseline,Pocilloporidae proportion,185,74,0.12546473278267067,0.11340207582618413,0.07275416805463114,0.17204691464525879
Table S11,0 prior heatwave years,porites_cover_baseline,Porites cover,196,79,3.2880771399478403,2.6002818170327733,1.5996793626777333,4.016314609933838
Table S11,0 prior heatwave years,porites_prop_baseline,Porites proportion,196,79,0.1618938577280214,0.10895920430211856,0.07328941777970689,0.2215815317320876
Table S11,1 prior heatwave year,baseline_hc,Baseline hard-coral cover,94,70,25.04995180620598,21.686597736014107,13.606385830771403,34.86685578733234
Table S11,1 prior heatwave year,loss_abs,Absolute hard-coral cover loss,94,70,5.200603807592732,1.4203854454434337,-2.4617098645037765,8.177894276135806
Table S11,1 prior heatwave year,modelled_hard_coral_sum_baseline,Modelled hard-coral sum,94,70,24.77347029914979,21.47418863390154,13.366308425824469,34.168481574310405
Table S11,1 prior heatwave year,macroalgae_sum_baseline,Macroalgae cover,94,70,2.8474876210377085,1.916947826433702,0.9353025212808632,3.652392284045802
Table S11,1 prior heatwave year,acropora_cover_baseline,Acropora cover,93,69,9.011530847434786,4.7307077922327645,1.4452714919099627,9.633506329193407
Table S11,1 prior heatwave year,acropora_prop_baseline,Acropora proportion,93,69,0.28355982370742394,0.22408952661107556,0.08696153936712962,0.3599342729705663
Table S11,1 prior heatwave year,pocilloporidae_cover_baseline,Pocilloporidae cover,78,60,2.6050901850525134,2.1775150384804043,1.0205135039289517,3.795268698751823
Table S11,1 prior heatwave year,pocilloporidae_prop_baseline,Pocilloporidae proportion,78,60,0.12258351699577776,0.10658701837746608,0.05729471373994402,0.18282742368982538
Table S11,1 prior heatwave year,porites_cover_baseline,Porites cover,90,66,3.607877451536068,2.5518288856258073,1.2620860256614148,5.150609468079605
Table S11,1 prior heatwave year,porites_prop_baseline,Porites proportion,90,66,0.18630054844365138,0.13842597638495407,0.07756547049145494,0.23221255854394862
Table S11,2+ prior heatwave years,baseline_hc,Baseline hard-coral cover,160,53,24.974155479604587,22.970082094712602,16.45708845158741,34.7475441488049
Table S11,2+ prior heatwave years,loss_abs,Absolute hard-coral cover loss,160,53,0.7098819261884196,-0.13997135452031806,-3.682106468762885,3.193088926059169
Table S11,2+ prior heatwave years,modelled_hard_coral_sum_baseline,Modelled hard-coral sum,160,53,24.698084911797967,22.308372353018093,16.06493497114988,34.49954769140512
Table S11,2+ prior heatwave years,macroalgae_sum_baseline,Macroalgae cover,160,53,4.118765481667311,3.3000412559174395,1.3009706354391597,4.95323067311154
Table S11,2+ prior heatwave years,acropora_cover_baseline,Acropora cover,157,52,7.1461491604729845,4.9040508675283565,1.7505108396642477,10.701777276161785
Table S11,2+ prior heatwave years,acropora_prop_baseline,Acropora proportion,157,52,0.2572991082605952,0.2453779943300765,0.10108261401741118,0.3805266195393805
Table S11,2+ prior heatwave years,pocilloporidae_cover_baseline,Pocilloporidae cover,124,42,4.9901684312120755,4.546855070442019,2.1269408319534837,6.505483712285749
Table S11,2+ prior heatwave years,pocilloporidae_prop_baseline,Pocilloporidae proportion,124,42,0.20937378102590143,0.16948394698147587,0.12333292232178217,0.23241293690098608
Table S11,2+ prior heatwave years,porites_cover_baseline,Porites cover,156,51,3.8721349327232053,2.8670465550624487,1.5811601790763552,4.539609335126052
Table S11,2+ prior heatwave years,porites_prop_baseline,Porites proportion,156,51,0.17388068068421944,0.10820516981739342,0.07591755077211795,0.21154111147420235
