seq_category_main,time_gap_years,smooth_rel_loss
S_to_H,1.0,0.073165049409378
S_to_H,2.0,0.5784364571700794
S_to_H,2.0,0.5784364571700794
S_to_H,2.0,0.5784364571700794
S_to_H,2.0,0.5784364571700794
S_to_H,2.0,0.5784364571700794
S_to_H,2.0,0.5784364571700794
S_to_H,3.0,0.4412257725444335
S_to_H,3.0,0.4412257725444335
S_to_H,4.0,0.25951523999680215
S_to_S,1.0,0.5709750405852184
S_to_S,1.0,0.5709750405852184
S_to_S,1.0,0.5709750405852184
S_to_S,1.0,0.5709750405852184
S_to_S,1.0,0.5709750405852184
S_to_S,1.0,0.5709750405852184
S_to_S,1.0,0.5709750405852184
S_to_S,1.0,0.5709750405852184
S_to_S,1.0,0.5709750405852184
S_to_S,1.0,0.5709750405852184
S_to_S,1.0,0.5709750405852184
S_to_S,2.0,0.4281374737998239
S_to_S,2.0,0.4281374737998239
S_to_S,2.0,0.4281374737998239
S_to_S,3.0,-0.16171645818898606
S_to_S,4.0,-0.8417510923628067
S_to_S,4.0,-0.8417510923628067
S_to_S,4.0,-0.8417510923628067
S_to_S,4.0,-0.8417510923628067
H_to_H,1.0,-0.1057289374308234
H_to_H,1.0,-0.1057289374308234
H_to_H,1.0,-0.1057289374308234
H_to_H,1.0,-0.1057289374308234
H_to_H,1.0,-0.1057289374308234
H_to_H,1.0,-0.1057289374308234
H_to_H,1.0,-0.1057289374308234
H_to_H,1.0,-0.1057289374308234
H_to_H,2.0,0.04577009650967043
H_to_H,2.0,0.04577009650967043
H_to_H,2.0,0.04577009650967043
H_to_H,2.0,0.04577009650967043
H_to_H,3.0,0.09694843750389046
H_to_H,3.0,0.09694843750389046
H_to_H,3.0,0.09694843750389046
H_to_H,3.0,0.09694843750389046
H_to_H,3.0,0.09694843750389046
H_to_H,3.0,0.09694843750389046
H_to_H,3.0,0.09694843750389046
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
H_to_H,4.0,0.5136695185468794
