reef_name,year,storm_name,storm_id,storm_date,pre_storm_sst,post_storm_min_sst,sst_cooling,dhw_at_storm,max_dhw_year,is_antagonistic,is_effective_cooling,match_method,matched_track_points
Agincourt_Reef_No_1,2024,JASPER,AU202324_02U,2023-12-13,28.0,27.92,0.08,0.0,6.97,False,False,storm_id,60
Border_Island,2017,DEBBIE,AU201617_24U,2017-03-28,29.0,27.44,1.56,6.71,6.71,False,True,storm_id,37
Border_Island,2020,HAROLD,AU201920_12U,2020-04-01,27.68,27.55,0.13,7.66,7.66,False,False,storm_id,41
Carter_Reef,2022,TIFFANY,AU202122_10U,2022-01-09,29.58,29.15,0.43,2.7,4.64,False,False,storm_id,40
Centipede_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.88,27.8,0.09,5.46,5.46,False,False,storm_id,41
Centipede_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.53,28.86,0.67,2.34,4.86,False,False,storm_id,79
Chicken_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.92,27.86,0.07,6.52,6.52,False,False,storm_id,41
Chicken_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.64,29.1,0.54,2.85,6.04,False,False,storm_id,79
Corbett_Reef,2022,TIFFANY,AU202122_10U,2022-01-10,29.78,29.34,0.44,2.15,4.68,False,False,storm_id,40
Davie_Reef,2022,TIFFANY,AU202122_10U,2022-01-09,29.5,29.13,0.37,2.22,5.82,False,False,storm_id,40
Davies_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.87,27.79,0.08,5.13,5.13,False,False,storm_id,41
Davies_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.48,28.9,0.58,1.73,4.23,False,False,storm_id,79
Dip_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.98,27.92,0.06,7.1,7.1,False,False,storm_id,41
Dip_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.66,29.03,0.63,3.63,7.65,False,False,storm_id,79
Fore_and_Aft_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.79,27.66,0.13,4.6,4.6,False,False,storm_id,41
Fork_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.94,27.83,0.11,5.96,5.96,False,False,storm_id,41
Fork_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.61,29.03,0.58,3.06,5.92,False,False,storm_id,79
Grub_Reef_18_077,2020,HAROLD,AU201920_12U,2020-04-01,27.88,27.78,0.1,5.77,5.77,False,False,storm_id,41
Grub_Reef_18_077,2024,KIRRILY,AU202324_05U,2024-01-25,29.52,28.75,0.77,2.44,4.98,False,False,storm_id,79
