term,Coefficient,StdErr,P_value,CI_lower,CI_upper,P_value_FDR,Significant_FDR,model_name,n_events,n_reefs
Intercept,-1.6398112972648433,0.4910961732827714,0.0008405519051655818,-2.6023421098445167,-0.6772804846851699,,,juv_change_nadir,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",0.46092186634067944,0.3801154850843394,0.22528899876704056,-0.2840907943905979,1.2059345270719568,0.25345012361292063,False,juv_change_nadir,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",1.7283485343750757,0.7064035974299842,0.014417596407334827,0.34382292486277577,3.1128741438873755,0.02595167353320269,True,juv_change_nadir,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",2.2465383071048937,0.5461426988035233,3.897659198540676e-05,1.1761182870304816,3.3169583271793055,0.0003507893278686609,True,juv_change_nadir,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",3.0203415691176527,1.0039305965476364,0.002625267142099203,1.052673756906474,4.9880093813288315,0.007601212547306518,True,juv_change_nadir,64,52
storm_exposure_seq_c,-0.04074664738553935,0.013901781598047228,0.0033783166876917856,-0.0679936386386536,-0.013499656132425101,0.007601212547306518,True,juv_change_nadir,64,52
heat_exposure_seq_c,-0.062413071120928386,0.03638317357661342,0.08626499066283269,-0.13372278097436005,0.008896638732503272,0.11091213085221346,False,juv_change_nadir,64,52
baseline_hc_c,-0.02122635607468549,0.00583051321821712,0.00027204155512078234,-0.03265395199377577,-0.009798760155595207,0.0012241869980435206,True,juv_change_nadir,64,52
start_year_c,0.07789250535067621,0.036614779048226485,0.03339088820242687,0.006128857114260547,0.1496561535870919,0.050086332303640305,False,juv_change_nadir,64,52
region_lat_c,-0.030525730951852112,0.03252517997929542,0.34797410043732224,-0.09427391230195435,0.03322245039825013,0.34797410043732224,False,juv_change_nadir,64,52
