"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series","color"
"photo-transect","reef","Erskine Island","2006","2006.20273972602739726","HARD CORAL","37.160802862897306","24.993429556810483","50.67314600411043","LTMP","9","_"," ","37.39181265455732","null","9.0m",""
"photo-transect","reef","Erskine Island","2008","2007.9342465753424658","HARD CORAL","25.058943713437927","16.22703968267036","35.28279593535413","LTMP","9","_"," ","25.392364166804736","null","9.0m",""
"photo-transect","reef","Erskine Island","2010","2010.0273972602739726","HARD CORAL","27.660520554480872","18.16390179577037","39.37936364197137","LTMP","9","_"," ","28.017337353701084","null","9.0m",""
"photo-transect","reef","Erskine Island","2012","2011.915068493150685","HARD CORAL","23.548210210144216","14.821768175715752","33.56324649255023","LTMP","9","_"," ","23.87959825993075","null","9.0m","#1f77b4"
"photo-transect","reef","Erskine Island","2014","2013.7013698630136986","HARD CORAL","24.94841307564393","15.596653409092816","36.290559096019926","LTMP","9","_"," ","25.290844346968633","null","9.0m",""
"photo-transect","reef","Erskine Island","2016","2015.7561643835616438","HARD CORAL","30.522587375078647","19.44362802827512","42.50408106395256","LTMP","9","_"," ","30.825018504522568","null","9.0m",""
"photo-transect","reef","Erskine Island","2018","2017.8027397260273973","HARD CORAL","27.131919708874413","16.93900253489981","37.69584402635988","LTMP","9","_"," ","27.379856217045766","null","9.0m",""
"photo-transect","reef","Erskine Island","2020","2020.021917808219178082","HARD CORAL","29.68749315053758","19.152860454440493","42.10807461086066","LTMP","9","_"," ","30.02250821055053","null","9.0m",""
"photo-transect","reef","Erskine Island","2022","2021.9506849315068493","HARD CORAL","36.72252244395884","24.34422369611335","50.12982433595777","LTMP","9","_"," ","36.968013874839606","null","9.0m",""
"photo-transect","reef","Erskine Island","2023","2022.6547945205479452","HARD CORAL","36.342243111426484","23.71707007932407","49.53070507315607","LTMP","9","_"," ","36.69689872763442","null","9.0m",""
"photo-transect","reef","Erskine Island","2024","2023.7315068493150685","HARD CORAL","45.86930638392376","32.25511229692643","59.77680130997188","LTMP","9","_"," ","46.09353118601329","null","9.0m",""
"photo-transect","reef","Erskine Island","2025","2024.8547945205479452","HARD CORAL","39.263502493320715","26.67448330787367","52.34816547536918","LTMP","9","_"," ","39.50436557848521","null","9.0m",""
