reef_name,event_year,event_type,recent_max_dhw,recent_max_wind,baseline_year,nadir_year,nadir_event_interval,baseline_hc,nadir_hc,loss_abs,positive_loss,rel_loss,rel_loss_clipped,yrs_since_last_dist,baseline_algae,baseline_macroalgae,baseline_juveniles,baseline_herbivores,cumulative_dhw_3yr,cumulative_wind_3yr,heatwave_years_3yr,storm_years_3yr,concurrent_years_3yr,max_consecutive_heatwave_3yr,max_consecutive_storm_3yr,cumulative_dhw_5yr,cumulative_wind_5yr,heatwave_years_5yr,storm_years_5yr,concurrent_years_5yr,max_consecutive_heatwave_5yr,max_consecutive_storm_5yr,cumulative_dhw_7yr,cumulative_wind_7yr,heatwave_years_7yr,storm_years_7yr,concurrent_years_7yr,max_consecutive_heatwave_7yr,max_consecutive_storm_7yr,cumulative_dhw_8yr,cumulative_wind_8yr,heatwave_years_8yr,storm_years_8yr,concurrent_years_8yr,max_consecutive_heatwave_8yr,max_consecutive_storm_8yr
Agincourt_Reef_No_1,1999,Storm_Only,0.49,19.857384,1998,1999,0,31.34126412075912,35.806982350624786,-4.465718229865665,0.0,-0.14248685734752362,-0.14248685734752362,10,39.331749246290585,1.2583490249773637,,46.39334875362778,1.44,0.0,0,0,0,0,0,6.109999999999999,0.0,0,0,0,0,0,6.109999999999999,0.0,0,0,0,0,0,6.74,0.0,0,0,0,0,0
Agincourt_Reef_No_1,2014,Storm_Only,0.0,19.80906675466956,2013,2017,3,15.184786656002323,12.949162076156034,2.2356245798462897,2.2356245798462897,0.1472279216358025,0.1472279216358025,15,71.86710537688826,1.895201722290761,29.707325570229,71.80118402336977,3.88,0.0,0,0,0,0,0,6.57,0.0,0,0,0,0,0,6.57,0.0,0,0,0,0,0,6.57,0.0,0,0,0,0,0
Agincourt_Reef_No_1,2016,Heatwave_Only,6.890000000000001,0.0,2015,2017,1,20.855648918378726,12.949162076156034,7.906486842222693,7.906486842222693,0.379105290521803,0.379105290521803,2,61.95337216024023,2.4780526026208607,42.234289533853584,79.77207687829517,3.38,22.128370039244206,0,1,0,0,1,5.609999999999999,22.128370039244206,0,1,0,0,1,8.3,22.128370039244206,0,1,0,0,1,8.3,22.128370039244206,0,1,0,0,1
Agincourt_Reef_No_1,2017,Heatwave_Only,8.16,0.0,2016,2017,0,26.569385499281623,12.949162076156034,13.620223423125589,13.620223423125589,0.5126284694651236,0.5126284694651236,1,53.2023168930295,2.9437970648892304,52.39204964207232,50.79299739384481,8.620000000000001,22.128370039244206,1,1,0,1,1,10.71,22.128370039244206,1,1,0,1,1,13.57,22.128370039244206,1,1,0,1,1,15.190000000000001,22.128370039244206,1,1,0,1,1
Agincourt_Reef_No_1,2020,Heatwave_Only,7.74,0.0,2019,2021,1,17.971979836431903,23.91429529595699,-5.942315459525087,0.0,-0.3306433411125424,-0.3306433411125424,3,71.59613294212296,3.4551357693255818,17.20184910317507,70.52287496940299,9.0,0.0,1,0,0,1,0,17.62,0.0,2,0,0,2,0,19.27,22.128370039244206,2,1,0,2,1,19.71,22.128370039244206,2,1,0,2,1
Agincourt_Reef_No_1,2022,Heatwave_Only,4.33,0.0,2021,2025,3,23.91429529595699,31.8571367354726,-7.942841439515611,0.0,-0.33213780047528507,-0.33213780047528507,2,62.57996883933824,3.34399228211633,14.365151581168542,50.00552947077145,9.48,0.0,1,0,0,1,0,17.790000000000003,0.0,2,0,0,1,0,26.41,0.0,3,0,0,2,0,26.410000000000004,22.128370039244206,3,1,0,2,1
Agincourt_Reef_No_1,2024,Concurrent,6.97,18.51984,2023,2025,1,34.74179356956395,31.8571367354726,2.884656834091352,2.884656834091352,0.08303131582183187,0.08303131582183187,2,51.48103473034556,3.81647477680034,14.7979810990628,54.796654833839305,5.85,0.0,1,0,0,1,0,14.280000000000001,0.0,2,0,0,1,0,22.590000000000003,0.0,3,0,0,1,0,29.48,0.0,4,0,0,2,0
Agincourt_Reef_No_1,2025,Heatwave_Only,5.16,0.0,2024,2025,0,37.11176219595191,31.8571367354726,5.254625460479311,5.254625460479311,0.14158921995497364,0.14158921995497364,1,48.01698701956127,3.452341505072924,17.874125180951886,71.54764343637723,11.77,18.51984,2,1,1,1,1,20.560000000000002,18.51984,3,1,1,1,1,21.400000000000002,18.51984,3,1,1,1,1,29.560000000000002,18.51984,4,1,1,1,1
Arlington_Reef,2010,Storm_Only,1.45,18.51984,2008,2012,2,20.496040574204777,15.322870762820756,5.173169811384021,5.173169811384021,0.2523984958292235,0.2523984958292235,4,57.62911796563011,2.352034818795535,10.959633510095776,55.11726581154496,3.5100000000000002,0.0,0,0,0,0,0,4.92,23.929370015874483,0,1,0,0,1,6.82,23.929370015874483,0,1,0,0,1,9.3,23.929370015874483,0,1,0,0,1
Arlington_Reef,2016,Heatwave_Only,4.58,0.0,2014,2018,2,18.156446734239083,10.813158237339104,7.343288496899978,7.343288496899978,0.40444524219885736,0.40444524219885736,6,54.5034270827933,2.5302185724744186,20.833878419771768,71.46583061166193,4.58,0.0,0,0,0,0,0,6.4399999999999995,0.0,0,0,0,0,0,10.959999999999999,18.51984,0,1,0,0,1,11.399999999999999,18.51984,0,1,0,0,1
