reef_name,event_year,event_type,recent_max_dhw,recent_max_wind,baseline_hc,nadir_hc,loss_abs,positive_loss,rel_loss,rel_loss_clipped,yrs_since_last_dist,cumulative_dhw_3yr,cumulative_wind_3yr,heatwave_years_3yr,storm_years_3yr,concurrent_years_3yr,max_consecutive_heatwave_3yr,max_consecutive_storm_3yr,cumulative_dhw_5yr,cumulative_wind_5yr,heatwave_years_5yr,storm_years_5yr,concurrent_years_5yr,max_consecutive_heatwave_5yr,max_consecutive_storm_5yr,cumulative_dhw_7yr,cumulative_wind_7yr,heatwave_years_7yr,storm_years_7yr,concurrent_years_7yr,max_consecutive_heatwave_7yr,max_consecutive_storm_7yr,cumulative_dhw_8yr,cumulative_wind_8yr,heatwave_years_8yr,storm_years_8yr,concurrent_years_8yr,max_consecutive_heatwave_8yr,max_consecutive_storm_8yr,baseline_algae,baseline_macroalgae,baseline_juveniles,baseline_herbivores,post_macroalgae,post_juveniles_mean,post_algae,baseline_algae_z,baseline_juveniles_z,baseline_macroalgae_z,baseline_herbivores_z,baseline_hc_z,recent_max_dhw_z,recent_max_wind_z,cumulative_dhw_5yr_z,cumulative_wind_5yr_z,yrs_since_last_dist_z
Agincourt_Reef_No_1,1999,Storm_Only,0.49,19.857384,31.34126412075912,35.806982350624786,-4.465718229865665,0.0,-0.1424868573475236,-0.1424868573475236,10,1.44,0.0,0,0,0,0,0,6.109999999999999,0.0,0,0,0,0,0,6.109999999999999,0.0,0,0,0,0,0,6.74,0.0,0,0,0,0,0,39.331749246290585,1.2583490249773637,,46.39334875362778,2.7533765325596904,,36.40981340816317,-1.3245846106877786,,-0.5224224829099782,0.019958362152982145,0.46175089238774797,-1.2700037457247433,0.48977046527607526,-0.5117545258237031,-0.5525116480315188,0.9204859136051936
Agincourt_Reef_No_1,2014,Storm_Only,0.0,19.80906675466956,15.184786656002323,12.949162076156034,2.2356245798462897,2.2356245798462897,0.1472279216358025,0.1472279216358025,15,3.88,0.0,0,0,0,0,0,6.57,0.0,0,0,0,0,0,6.57,0.0,0,0,0,0,0,6.57,0.0,0,0,0,0,0,71.86710537688826,1.895201722290761,29.707325570229,71.80118402336977,4.271882521332042,38.15959875741519,61.95337216024023,0.6778399574502454,1.4142645384865422,-0.32346824049075934,1.3003046062552548,-0.7474912361240745,-1.416949301979411,0.48661976255121103,-0.45128771564790054,-0.5525116480315188,1.934024304214939
Agincourt_Reef_No_1,2016,Heatwave_Only,6.890000000000001,0.0,20.855648918378726,12.949162076156034,7.906486842222693,7.906486842222693,0.379105290521803,0.379105290521803,2,3.38,22.128370039244206,0,1,0,0,1,5.609999999999999,22.128370039244206,0,1,0,0,1,8.3,22.128370039244206,0,1,0,0,1,8.3,22.128370039244206,0,1,0,0,1,61.95337216024023,2.4780526026208607,42.234289533853584,79.77207687829517,4.271882521332042,17.155145849376307,78.68134947143844,0.06768825432157437,2.8467041962644295,-0.1413842894787954,1.7019721478068575,-0.32305183913224794,0.649285152295406,-0.8051028961830892,-0.5774793194930535,0.8892890143796139,-0.7011755113703992
Agincourt_Reef_No_1,2017,Heatwave_Only,8.16,0.0,26.569385499281623,12.949162076156034,13.620223423125587,13.620223423125587,0.5126284694651236,0.5126284694651236,1,8.620000000000001,22.128370039244206,1,1,0,1,1,10.71,22.128370039244206,1,1,0,1,1,13.57,22.128370039244206,1,1,0,1,1,15.19,22.128370039244206,1,1,0,1,1,53.2023168930295,2.9437970648892304,52.39204964207232,50.79299739384481,3.4551357693255818,14.76590534045394,78.45489009878617,-0.47090514523604476,4.008228924479317,0.0041153481021548805,0.24166452295212476,0.10459651428628525,1.0301440429962792,-0.8051028961830892,0.09291357593432104,0.8892890143796139,-0.9038831894923484
Agincourt_Reef_No_1,2020,Heatwave_Only,7.74,0.0,17.971979836431903,23.91429529595699,-5.942315459525087,0.0,-0.3306433411125424,-0.3306433411125424,3,9.0,0.0,1,0,0,1,0,17.62,0.0,2,0,0,2,0,19.27,22.128370039244206,2,1,0,2,1,19.71,22.128370039244206,2,1,0,2,1,71.59613294212296,3.4551357693255818,17.20184910317507,70.52287496940299,3.81647477680034,14.581566340115671,62.57996883933824,0.6611626584993996,-0.015718056085643122,0.16385873144641347,1.23588832762811,-0.5388819386191971,0.9041907090637069,-0.8051028961830892,1.001230224444744,-0.5525116480315188,-0.4984678332484502
Agincourt_Reef_No_1,2022,Heatwave_Only,4.33,0.0,23.91429529595699,31.8571367354726,-7.942841439515611,0.0,-0.332137800475285,-0.332137800475285,2,9.48,0.0,1,0,0,1,0,17.790000000000003,0.0,2,0,0,1,0,26.41,0.0,3,0,0,2,0,26.410000000000004,22.128370039244206,3,1,0,2,1,62.57996883933824,3.34399228211633,14.365151581168542,50.00552947077145,3.81647477680034,15.080472118820545,51.48103473034556,0.10625284170470047,-0.3400901896242711,0.12913725128180137,0.20198260645061603,-0.09412544945010257,-0.11843040691265384,-0.8051028961830892,1.0235766542923233,-0.5525116480315188,-0.7011755113703992
Agincourt_Reef_No_1,2024,Concurrent,6.97,18.51984,34.74179356956395,31.8571367354726,2.884656834091352,2.884656834091352,0.0830313158218318,0.0830313158218318,2,5.85,0.0,1,0,0,1,0,14.28,0.0,2,0,0,1,0,22.590000000000003,0.0,3,0,0,1,0,29.48,0.0,4,0,0,2,0,51.48103473034556,3.81647477680034,14.7979810990628,54.796654833839305,2.705352337545164,12.569310076446945,54.98525134361494,-0.5768433644896093,-0.2905967793862467,0.27674186563415437,0.4434159792075765,0.7162657442612339,0.6732762635206575,0.40255101605861854,0.5621886027334829,-0.5525116480315188,-0.7011755113703992
Agincourt_Reef_No_1,2025,Heatwave_Only,5.16,0.0,37.11176219595191,31.8571367354726,5.254625460479311,5.254625460479311,0.1415892199549736,0.1415892199549736,1,11.77,18.51984,2,1,1,1,1,20.56,18.51984,3,1,1,1,1,21.4,18.51984,3,1,1,1,1,29.56,18.51984,4,1,1,1,1,48.01698701956127,3.452341505072924,17.874125180951886,71.54764343637723,,,,-0.790042021772889,0.06115571137941829,0.16298579688893755,1.2875282427895338,0.8936475969906498,0.13047737204933427,-0.8051028961830892,1.3876920112205242,0.6541708835961109,-0.9038831894923484
Arlington_Reef,2010,Storm_Only,1.45,18.51984,20.496040574204777,15.322870762820756,5.173169811384021,5.173169811384021,0.2523984958292235,0.2523984958292235,4,3.51,0.0,0,0,0,0,0,4.92,23.929370015874483,0,1,0,0,1,6.82,23.929370015874483,0,1,0,0,1,9.3,23.929370015874483,0,1,0,0,1,57.62911796563011,2.352034818795535,10.959633510095776,55.11726581154496,2.4755071049552178,11.415632737668751,61.84313315377508,-0.19845276480247667,-0.7295061051205597,-0.1807525340007757,0.4595721395717082,-0.3499669609766038,-0.9821104110217209,0.40255101605861854,-0.668179534756757,1.0066353419538006,-0.29576015512650106
Arlington_Reef,2016,Heatwave_Only,4.58,0.0,18.156446734239083,10.813158237339104,7.343288496899978,7.343288496899978,0.4044452421988573,0.4044452421988573,6,4.58,0.0,0,0,0,0,0,6.44,0.0,0,0,0,0,0,10.96,18.51984,0,1,0,0,1,11.4,18.51984,0,1,0,0,1,54.5034270827933,2.5302185724744186,20.833878419771768,71.46583061166193,4.86294036412335,10.666678997304562,58.27378971495243,-0.3908268759409514,0.3995990827208833,-0.12508752092295608,1.2834055482848046,-0.5250753929392421,-0.04345818433374177,-0.8051028961830892,-0.46837616200193166,-0.5525116480315188,0.10965520111739717
