data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,reefpage_category,shelf,mean,count_group,series,source_file
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,ALGAE,30.42359756181594,28.282849807943837,32.651984079610784,LTMP,9,_,Coralline algae, ,30.424411682584054,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,ALGAE,15.72492250475882,13.8950425300793,17.194533466724447,LTMP,9,_,Turf algae, ,15.722684007216268,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,ALGAE,0.2207758751359222,0.0839100539483979,0.4608285061580816,LTMP,9,_,Red Macroalgae, ,0.2398658990585249,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,ALGAE,0.0857666780728098,0.0124458347802773,0.2769740393003396,LTMP,9,_,Unidentified Macroalgae, ,0.1103261558900807,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,ALGAE,0.0423749376773132,0.00398414169819,0.2235339393881764,LTMP,9,_,Green Macroalgae, ,0.0710495913557493,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,ALGAE,0.0,0.0,0.0,LTMP,9,_,Other Brown Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,HARD CORAL,8.206439893608678,6.452729131228825,10.00954087942615,LTMP,9,_,Acropora, ,8.215456791504343,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,HARD CORAL,5.454237489575523,4.200826915327926,6.856779989068415,LTMP,9,_,Pocilloporidae, ,5.481868893063221,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,HARD CORAL,3.927640780407775,2.856158947898482,5.199786810872588,LTMP,9,_,Isopora, ,3.968730932155112,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,HARD CORAL,1.954753568532128,1.2342185876329614,2.805446715269197,LTMP,9,_,Merulinidae, ,1.9758753252041923,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,HARD CORAL,0.9047902192895192,0.4322765588734188,1.499706916078975,LTMP,9,_,Other, ,0.9432721403270256,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,HARD CORAL,1.1181322879314342,0.5776341809040852,1.7260910899786188,LTMP,9,_,Porites, ,1.1538997658150107,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,HARD CORAL,2.3042201842706245,1.4910082200557624,3.254238311793868,LTMP,9,_,Unidentified, ,2.34403549758795,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,SOFT CORAL,0.0,0.0,0.0,LTMP,9,_,Xeniidae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,SOFT CORAL,17.498094486817745,0.7836454819203507,23.31376970899031,LTMP,9,_,Unidentified, ,16.421275756313346,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,SOFT CORAL,0.0,0.0,0.0,LTMP,9,_,Nephtheidae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,SOFT CORAL,1.0481871630587871,0.4622279371758931,1.8057789991483435,LTMP,9,_,Sclerophytum, ,1.0902115544336184,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,SOFT CORAL,1.1636003316331298,0.5509362727620811,1.8972143636630936,LTMP,9,_,Other, ,1.2090340597291298,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,SOFT CORAL,0.8730676356143021,0.3479588388592191,1.5626314045427887,LTMP,9,_,Lobophytum, ,0.9225475012891388,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,SOFT CORAL,0.2965624701835789,0.0682847725378086,0.8027470842263515,LTMP,9,_,Briareum, ,0.347899937454189,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,MACROALGAE,0.218046417192712,0.0726373442599244,0.4628529012666568,LTMP,9,_,Red Macroalgae, ,0.243078208287075,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,MACROALGAE,0.0867818982271074,0.0141224042841938,0.2737617860987426,LTMP,9,_,Unidentified Macroalgae, ,0.1109273980272064,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,MACROALGAE,0.0456826801134223,0.0020570980825021,0.2200380222931245,LTMP,9,_,Green Macroalgae, ,0.0689906847579483,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1995,1995.2767123287672,MACROALGAE,0.0,0.0,0.0,LTMP,9,_,Other Brown Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,ALGAE,19.217075370567272,17.627701221047367,20.915782283870705,LTMP,9,_,Coralline algae, ,19.211267387599097,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,ALGAE,24.47412460360135,22.614941893674494,26.261818038181257,LTMP,9,_,Turf algae, ,24.48194753993299,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
