reef_name,year,max_dhw,dhw_peak_date,min_dist,max_wind_ms,storm_name,storm_peak_date,has_storm,has_heatwave
Agincourt_Reef_No_1,2015,1.73,2015.1806981519508,,0.0,,,0,0
Agincourt_Reef_No_1,2016,6.890000000000001,2016.2464065708418,,0.0,,,0,1
Agincourt_Reef_No_1,2017,8.16,2017.2464065708418,,0.0,,,0,1
Agincourt_Reef_No_1,2018,0.15,2018.145106091718,,0.0,,,0,0
Agincourt_Reef_No_1,2019,0.6900000000000001,2019.1478439425052,,0.0,,,0,0
Agincourt_Reef_No_1,2020,7.74,2020.1998631074607,,0.0,,,0,1
Agincourt_Reef_No_1,2021,1.05,2021.123203285421,,0.0,,,0,0
Agincourt_Reef_No_1,2022,4.33,2022.1998631074607,,0.0,,,0,1
Agincourt_Reef_No_1,2023,0.47,2023.2874743326488,,0.0,,,0,0
Agincourt_Reef_No_1,2024,6.97,2024.186173853525,27.80201971748141,18.519840000000002,JASPER,2023.950034223135,1,1
Agincourt_Reef_No_1,2025,5.16,2025.1916495550993,,0.0,,,0,1
Arlington_Reef,1985,0.0,,,0.0,,,0,0
Arlington_Reef,1986,0.0,,80.4531642124434,19.04204508797545,WINIFRED,1986.0876112251883,1,0
Arlington_Reef,1987,0.0,,,0.0,,,0,0
Arlington_Reef,1988,0.0,,,0.0,,,0,0
Arlington_Reef,1989,1.6,1989.1314168377824,,0.0,,,0,0
Arlington_Reef,1990,0.0,1989.498288843258,63.4917066468512,17.973731505191388,FELICITY,1989.9582477754961,1,0
Arlington_Reef,1991,0.0,,63.6171134523867,19.018697933609438,JOY,1990.977412731006,1,0
Arlington_Reef,1992,0.0,,,0.0,,,0,0
Arlington_Reef,1993,0.0,,,0.0,,,0,0
Arlington_Reef,1994,2.93,1994.1998631074607,,0.0,,,0,0
Arlington_Reef,1995,1.91,1995.1533196440794,,0.0,,,0,0
Arlington_Reef,1996,1.58,1996.0985626283368,,0.0,,,0,0
Arlington_Reef,1997,0.0,1996.501026694045,,0.0,,,0,0
Arlington_Reef,1998,0.14,1998.0958247775495,,0.0,,,0,0
