reef_name,year,storm_track_id,storm_id,storm_name,storm_track_key_type,max_wind_ms,min_dist_km,buff_limit_km,rmax_default_km,decay_exponent,physical_threshold_ms
Chinaman_Reef_22_102,1984,AU198384_22U,AU198384_22U,LANCE,DISTURBANCE_ID,18.519840000000002,25.80606066113598,100,45.0,0.8,17.5
Chinaman_Reef_22_102,1992,AU199192_08U,AU199192_08U,FRAN,DISTURBANCE_ID,22.481028000000002,30.984401632795187,100,45.0,0.8,17.5
Chinaman_Reef_22_102,1994,AU199394_02U,AU199394_02U,REWA,DISTURBANCE_ID,29.117304,23.41824554565655,100,45.0,0.8,17.5
Chinaman_Reef_22_102,2009,AU200809_17U,AU200809_17U,HAMISH,DISTURBANCE_ID,42.338412,12.781606323683992,100,45.0,0.8,17.5
Corbett_Reef,1981,AU198081_08U,AU198081_08U,EDDIE,DISTURBANCE_ID,18.519840000000002,42.77532791240492,100,45.0,0.8,17.5
Corbett_Reef,1985,AU198485_15U,AU198485_15U,TANYA,DISTURBANCE_ID,19.857384,17.378807691099805,100,45.0,0.8,17.5
Corbett_Reef,1990,AU198990_10U,AU198990_10U,IVOR,DISTURBANCE_ID,33.078492,12.717251273420286,100,45.0,0.8,17.5
Corbett_Reef,2005,AU200405_07U,AU200405_07U,INGRID,DISTURBANCE_ID,25.469459894746837,71.86573588563311,100,45.0,0.8,17.5
Corbett_Reef,2015,AU201415_17U,AU201415_17U,NATHAN,DISTURBANCE_ID,23.061206928389268,56.7898320865336,100,45.0,0.8,17.5
Corbett_Reef,2022,AU202122_10U,AU202122_10U,TIFFANY,DISTURBANCE_ID,19.857384,23.49219593292396,100,45.0,0.8,17.5
Davie_Reef,1981,AU198081_08U,AU198081_08U,EDDIE,DISTURBANCE_ID,18.519840000000002,41.44565636371298,100,45.0,0.8,17.5
Davie_Reef,1985,AU198485_15U,AU198485_15U,TANYA,DISTURBANCE_ID,19.857384,31.141299634643392,100,45.0,0.8,17.5
Davie_Reef,1990,AU198990_10U,AU198990_10U,IVOR,DISTURBANCE_ID,33.078492,12.108714872525585,100,45.0,0.8,17.5
Davie_Reef,2005,AU200405_07U,AU200405_07U,INGRID,DISTURBANCE_ID,27.573202168547166,73.89155754838451,100,45.0,0.8,17.5
Davie_Reef,2015,AU201415_17U,AU201415_17U,NATHAN,DISTURBANCE_ID,21.839007580093515,60.789980168438085,100,45.0,0.8,17.5
Davie_Reef,2022,AU202122_10U,AU202122_10U,TIFFANY,DISTURBANCE_ID,19.857384,36.76786439941878,100,45.0,0.8,17.5
Davies_Reef,1988,AU198788_04U,AU198788_04U,CHARLIE,DISTURBANCE_ID,28.637080482677696,45.945241604513235,100,45.0,0.8,17.5
Davies_Reef,1989,AU198889_09U,AU198889_09U,AIVU,DISTURBANCE_ID,41.000868000000004,38.88452356456466,100,45.0,0.8,17.5
Davies_Reef,2000,AU199900_09U,AU199900_09U,TESSI,DISTURBANCE_ID,22.481028000000002,39.61318418724968,100,45.0,0.8,17.5
