baseline_bin,n_events,negative_n,negative_share,mean_rel_loss,median_rel_loss
5-<10,16,12,0.75,-0.5362906847335956,-0.8647887934230367
10-<20,18,9,0.5,-0.13450408722990836,0.03127062076565865
20-<30,42,8,0.19047619047619047,0.29027773580987465,0.2923020942947866
30+,44,5,0.11363636363636363,0.4471135014356937,0.4613027156073706
