reef_name,coords,coords_normalized,lat,lon,duplicate_name_count,site_selection
Havannah_Island,"18¡ã50'23.98""S 146¡ã32'36.09""E","18°50'23.98""S 146°32'36.09""E",-18.839994444444443,146.54335833333334,1,kept_unique
Hayman_Island,"20¡ã03'45.81""S 148¡ã53'52.73""E","20°03'45.81""S 148°53'52.73""E",-20.062725,148.89798055555553,1,kept_unique
Helix_Reef,"18¡ã37'25""S 147¡ã17'46""E","18°37'25""S 147°17'46""E",-18.62361111111111,147.29611111111112,1,kept_unique
Horseshoe_Reef,"22¡ã01'53""S 152¡ã36'32""E","22°01'53""S 152°36'32""E",-22.031388888888888,152.60888888888888,1,kept_unique
Hoskyn_Island,"23¡ã48¡ä19.11""S 152¡ã17'41.40""E","23°48'19.11""S 152°17'41.40""E",-23.805308333333333,152.29483333333334,1,kept_unique
Hyde_Reef,"19¡ã45¡ä15.80""S 150¡ã05¡ä13.58""E","19°45'15.80""S 150°05'13.58""E",-19.75438888888889,150.08710555555555,1,kept_unique
Jenkins_Reef,"21¡ã57¡ä19""S 152¡ã36'05""E","21°57'19""S 152°36'05""E",-21.955277777777777,152.6013888888889,1,kept_unique
John_Brewer_Reef,"18¡ã37'39""S 147¡ã04¡ä26""E","18°37'39""S 147°04'26""E",-18.6275,147.0738888888889,1,kept_unique
Kelso_Reef,"18¡ã26'08.95""S 146¡ã59¡ä39.11""E","18°26'08.95""S 146°59'39.11""E",-18.435819444444444,146.9941972222222,1,kept_unique
Knife_Reef,"18¡ã34'48""S 147¡ã34'28""E","18°34'48""S 147°34'28""E",-18.58,147.57444444444445,1,kept_unique
Low_Isles,"16¡ã23'06""S 145¡ã34¡ä13""E","16°23'06""S 145°34'13""E",-16.384999999999998,145.57027777777776,1,kept_unique
Lynchs_Reef,"18¡ã44'09.48""S 147¡ã43'28.26""E","18°44'09.48""S 147°43'28.26""E",-18.735966666666666,147.72451666666666,1,kept_unique
Macgillivray_Reef,"14¡ã39'07""S 145¡ã29¡ä32""E","14°39'07""S 145°29'32""E",-14.651944444444444,145.4922222222222,1,kept_unique
Mackay_Reef,"16¡ã02'41""S 145¡ã38'52""E","16°02'41""S 145°38'52""E",-16.044722222222223,145.64777777777778,1,kept_unique
Mantis_Reef,"12¡ã20'02.41""S 143¡ã51'53.49""E","12°20'02.41""S 143°51'53.49""E",-12.334002777777778,143.86485833333333,1,kept_unique
Masthead_Island,"23¡ã32'25.28""S 151¡ã45'04.18""E","23°32'25.28""S 151°45'04.18""E",-23.540355555555557,151.75116111111112,1,kept_unique
McCulloch_Reef,"17¡ã17¡ä30.13""S 146¡ã26'43.72""E","17°17'30.13""S 146°26'43.72""E",-17.29170277777778,146.44547777777777,1,kept_unique
McSweeney_Reef,"11¡ã01'27""S 143¡ã14'59""E","11°01'27""S 143°14'59""E",-11.024166666666668,143.2497222222222,1,kept_unique
Michaelmas_Cay,"16¡ã33'56""S 146¡ã03'03""E","16°33'56""S 146°03'03""E",-16.565555555555555,146.05083333333334,1,kept_unique
Monsoon_Reef,"11¡ã07'55""S 143¡ã15'44""E","11°07'55""S 143°15'44""E",-11.131944444444445,143.26222222222222,1,kept_unique
Moore_Reef,"16¡ã51'46""S 146¡ã14'37""E","16°51'46""S 146°14'37""E",-16.86277777777778,146.2436111111111,1,kept_unique
Myrmidon_Reef,"18¡ã15'55.31""S 147¡ã23'05.64""E","18°15'55.31""S 147°23'05.64""E",-18.26536388888889,147.3849,1,kept_unique
North_Barnard_Islands,"14¡ã44'38.05""S 145¡ã30¡ä26.00""E","14°44'38.05""S 145°30'26.00""E",-14.743902777777777,145.50722222222223,1,kept_unique
North_Direction_Island,"14¡ã44'36""S 145¡ã30'27""E","14°44'36""S 145°30'27""E",-14.743333333333332,145.5075,1,kept_unique
North_Island,"23¡ã11¡ä02.74""S 151¡ã54'23.91""E","23°11'02.74""S 151°54'23.91""E",-23.184094444444444,151.90664166666667,1,kept_unique
One_Tree_Island,"23¡ã29'42""S 152¡ã05'13""E","23°29'42""S 152°05'13""E",-23.495,152.08694444444444,1,kept_unique
Opal_Reef,"16¡ã12'55""S 145¡ã54¡ä05""E","16°12'55""S 145°54'05""E",-16.21527777777778,145.9013888888889,1,kept_unique
Pandora_Reef,"18¡ã48¡ä45.41""S 146¡ã26'00.82""E","18°48'45.41""S 146°26'00.82""E",-18.81261388888889,146.43356111111112,1,kept_unique
Peart_Reef,"17¡ã28'29""S 146¡ã24¡ä17""E","17°28'29""S 146°24'17""E",-17.47472222222222,146.40472222222223,1,kept_unique
Pompey_Reef_No_1,"20¡ã56'05.86""S 150¡ã32'40.57""E","20°56'05.86""S 150°32'40.57""E",-20.93496111111111,150.54460277777778,1,kept_unique
Pompey_Reef_No_2,"20¡ã59'19.11""S 150¡ã31'42.25""E","20°59'19.11""S 150°31'42.25""E",-20.988641666666666,150.52840277777779,1,kept_unique
Rebe_Reef,"19¡ã47'53.16""S 150¡ã09'19.84""E","19°47'53.16""S 150°09'19.84""E",-19.7981,150.1555111111111,1,kept_unique
Reef_11_049,"11¡ã21¡ä39.13""S 143¡ã20¡ä00.41""E","11°21'39.13""S 143°20'00.41""E",-11.360869444444445,143.33344722222222,1,kept_unique
Reef_11_162,"11¡ã32'42.78""S 143¡ã17'19.52""E","11°32'42.78""S 143°17'19.52""E",-11.545216666666667,143.28875555555555,1,kept_unique
Reef_13_124,"13¡ã52'05.41""S 144¡ã04'48.10""E","13°52'05.41""S 144°04'48.10""E",-13.868169444444446,144.0800277777778,1,kept_unique
Reef_19_131,"19¡ã45¡ä34.61""S 149¡ã22'05.63""E","19°45'34.61""S 149°22'05.63""E",-19.75961388888889,149.36823055555556,1,kept_unique
Reef_19_138,"19¡ã51¡ä00.20""S 149¡ã25¡ä21.38""E","19°51'00.20""S 149°25'21.38""E",-19.850055555555556,149.42260555555555,1,kept_unique
Reef_20_104,"20¡ã01'54.17""S 149¡ã41'19.56""E","20°01'54.17""S 149°41'19.56""E",-20.031713888888888,149.68876666666668,1,kept_unique
Reef_20_348,"20¡ã53'19.15""S 150¡ã57'06.89""E","20°53'19.15""S 150°57'06.89""E",-20.88865277777778,150.95191388888887,1,kept_unique
Reef_20_353,"20¡ã57'48.23""S 150¡ã55'02.36""E","20°57'48.23""S 150°55'02.36""E",-20.96339722222222,150.91732222222223,1,kept_unique
Reef_21_060,"21¡ã00'50""S 150¡ã35'27""E","21°00'50""S 150°35'27""E",-21.01388888888889,150.59083333333334,1,kept_unique
Reef_21_062,"21¡ã01'51""S 150¡ã51'56""E","21°01'51""S 150°51'56""E",-21.030833333333334,150.86555555555555,1,kept_unique
Reef_21_064,"21¡ã03'28""S 150¡ã46'35""E","21°03'28""S 150°46'35""E",-21.05777777777778,150.7763888888889,1,kept_unique
Reef_21_139,"21¡ã28'20.91""S 151¡ã28'08.37""E","21°28'20.91""S 151°28'08.37""E",-21.472475,151.46899166666668,1,kept_unique
Reef_21_187,"21¡ã24'51""S 151¡ã38'05""E","21°24'51""S 151°38'05""E",-21.414166666666667,151.63472222222222,1,kept_unique
Reef_21_245,"21¡ã18'06""S 152¡ã26¡ä52""E","21°18'06""S 152°26'52""E",-21.301666666666666,152.4477777777778,1,kept_unique
Reef_21_278,"21¡ã06¡ä15.97""S 152¡ã32'35.93""E","21°06'15.97""S 152°32'35.93""E",-21.104436111111113,152.5433138888889,1,kept_unique
Reef_21_296,"21¡ã20'33.88""S 152¡ã32'54.74""E","21°20'33.88""S 152°32'54.74""E",-21.342744444444442,152.54853888888888,1,kept_unique
Reef_21_302,"21¡ã25'51.29""S 152¡ã34'45.33""E","21°25'51.29""S 152°34'45.33""E",-21.43091388888889,152.57925833333334,1,kept_unique
Reef_21_529,"21¡ã51'57.34""S 152¡ã10'18.03E","21°51'57.34""S 152°10'18.03E",-21.86592777777778,152.171675,1,kept_unique
Reef_21_550,"21¡ã57'03.35""S 152¡ã18'30.36""E","21°57'03.35""S 152°18'30.36""E",-21.950930555555555,152.30843333333334,1,kept_unique
Reef_21_558,"21¡ã32'35""S 152¡ã32'58""E","21°32'35""S 152°32'58""E",-21.543055555555558,152.54944444444445,1,kept_unique
Reef_21_591,"21¡ã01'43""S 150¡ã22'22""E","21°01'43""S 150°22'22""E",-21.02861111111111,150.3727777777778,1,kept_unique
Reef_22_084,"22¡ã00'00.99""S 152¡ã27'52.28""E","22°00'00.99""S 152°27'52.28""E",-22.000275,152.4645222222222,1,kept_unique
Rib_Reef,"18¡ã29'01""S 146¡ã52'38""E","18°29'01""S 146°52'38""E",-18.483611111111113,146.87722222222223,1,kept_unique
Roxburgh_Reef,"18¡ã26'09.86""S 147¡ã03'26.83""E","18°26'09.86""S 147°03'26.83""E",-18.436072222222222,147.0574527777778,1,kept_unique
Sand_bank_No_1,"14¡ã11'54.60""S 144¡ã53'27.69""E","14°11'54.60""S 144°53'27.69""E",-14.198500000000001,144.89102499999998,1,kept_unique
