rel_loss_sign,n_events,mean_rel_loss,mean_nadir_lag,median_nadir_lag,lag_1_n,lag_2_n,lag_3_n,mean_baseline_hc,median_baseline_hc
negative,34,-0.52718455616186,1.3823529411764706,1.0,9,7,8,18.294808134656947,14.523352532258539
non_negative,86,0.45101406221875145,1.5348837209302326,1.0,34,28,14,31.155791464998632,29.11886933713494
