analysis,category,term,beta,ci_low,ci_high,p,n,reefs,area,status,q
sector_stratified,Merulinidae,heatwave_years_5yr_z,-0.8549979748275386,-1.8513000538749604,0.14130410421988326,0.09257173206191362,245,39,Central,fit,0.27771519618574086
sector_stratified,Other,heatwave_years_5yr_z,0.4422861146118285,-0.061469737916283684,0.9460419671399407,0.08528647941792483,245,39,Central,fit,0.27771519618574086
sector_stratified,Acropora,heatwave_years_5yr_z,-0.6296209710797981,-3.208211753266124,1.9489698111065281,0.632245051375473,245,39,Central,fit,0.6390326703796718
sector_stratified,Montipora,heatwave_years_5yr_z,-0.39853980661309896,-1.57422726876895,0.7771476555427521,0.5064360104908671,174,30,Central,fit,0.6390326703796718
sector_stratified,Pocilloporidae,heatwave_years_5yr_z,0.2159883579787533,-0.6082923672721753,1.040269083229682,0.6075496462628339,204,34,Central,fit,0.6390326703796718
sector_stratified,Porites,heatwave_years_5yr_z,-0.13967259656944955,-0.7233038879536754,0.44395869481477634,0.6390326703796718,237,38,Central,fit,0.6390326703796718
sector_stratified,Merulinidae,heatwave_years_5yr_z,0.3289255931475795,-0.8415838217873995,1.4994350080825587,0.5817908565613441,37,8,North,fit,0.599448741132313
sector_stratified,Other,heatwave_years_5yr_z,-0.09432871031068409,-0.44635306768308664,0.2576956470617185,0.599448741132313,37,8,North,fit,0.599448741132313
sector_stratified,Porites,heatwave_years_5yr_z,-1.3590883471751751,-4.686933925698352,1.9687572313480022,0.4234518239887626,37,8,North,fit,0.599448741132313
sector_stratified,Acropora,heatwave_years_5yr_z,,,,,33,7,North,skipped_small_sector,
sector_stratified,Montipora,heatwave_years_5yr_z,,,,,15,3,North,skipped_small_sector,
sector_stratified,Pocilloporidae,heatwave_years_5yr_z,,,,,20,4,North,skipped_small_sector,
sector_stratified,Acropora,heatwave_years_5yr_z,,,,,38,5,North-Central,skipped_small_sector,
sector_stratified,Merulinidae,heatwave_years_5yr_z,,,,,38,5,North-Central,skipped_small_sector,
sector_stratified,Montipora,heatwave_years_5yr_z,,,,,24,3,North-Central,skipped_small_sector,
sector_stratified,Other,heatwave_years_5yr_z,,,,,38,5,North-Central,skipped_small_sector,
sector_stratified,Pocilloporidae,heatwave_years_5yr_z,,,,,38,5,North-Central,skipped_small_sector,
sector_stratified,Porites,heatwave_years_5yr_z,,,,,38,5,North-Central,skipped_small_sector,
sector_stratified,Montipora,heatwave_years_5yr_z,-0.6354948408729064,-1.4355582608098039,0.16456857906399103,0.11951552281897503,141,38,South,fit,0.7170931369138502
sector_stratified,Merulinidae,heatwave_years_5yr_z,0.29241254510108833,-0.3879664314922702,0.9727915216944469,0.3995913920299071,146,40,South,fit,0.7456796087801042
sector_stratified,Other,heatwave_years_5yr_z,0.06996384607012102,-0.20566548761171272,0.34559317975195475,0.6188338811267847,146,40,South,fit,0.7456796087801042
sector_stratified,Pocilloporidae,heatwave_years_5yr_z,-0.13513576885034073,-0.6714358408405328,0.4011643031398513,0.6213996739834202,125,37,South,fit,0.7456796087801042
sector_stratified,Porites,heatwave_years_5yr_z,0.28847429097103827,-0.23791156932027824,0.8148601512623548,0.2827709104926964,130,37,South,fit,0.7456796087801042
sector_stratified,Acropora,heatwave_years_5yr_z,-0.055539435859379205,-1.8024631413264347,1.6913842696076762,0.9503139238404694,146,40,South,fit,0.9503139238404694
