analysis,category,area,area_specific_beta,interaction_joint_p,n,reefs,status,interaction_joint_q
heatwave_x_sector_interaction,Acropora,Central,-1.4240611027528955,0.34135676013287597,391,79,fit,0.3576039582380858
heatwave_x_sector_interaction,Acropora,South,-0.4510686947002609,0.34135676013287597,391,79,fit,0.3576039582380858
heatwave_x_sector_interaction,Merulinidae,Central,-0.33666397949500404,0.12102255775822708,428,87,fit,0.3576039582380858
heatwave_x_sector_interaction,Merulinidae,North,0.49199469377373484,0.12102255775822708,428,87,fit,0.3576039582380858
heatwave_x_sector_interaction,Merulinidae,South,0.11304006150830664,0.12102255775822708,428,87,fit,0.3576039582380858
heatwave_x_sector_interaction,Montipora,Central,-0.16171606985297873,0.2773414887448163,315,68,fit,0.3576039582380858
heatwave_x_sector_interaction,Montipora,South,-0.8107888041438388,0.2773414887448163,315,68,fit,0.3576039582380858
heatwave_x_sector_interaction,Other,Central,0.46324599300287095,0.3576039582380858,428,87,fit,0.3576039582380858
heatwave_x_sector_interaction,Other,North,0.09577870368023178,0.3576039582380858,428,87,fit,0.3576039582380858
heatwave_x_sector_interaction,Other,South,0.20633715549914866,0.3576039582380858,428,87,fit,0.3576039582380858
heatwave_x_sector_interaction,Pocilloporidae,Central,0.33083247562064316,0.2737227283955405,329,71,fit,0.3576039582380858
heatwave_x_sector_interaction,Pocilloporidae,South,-0.10083012597769486,0.2737227283955405,329,71,fit,0.3576039582380858
heatwave_x_sector_interaction,Porites,Central,0.03401666762892783,0.14424812172558393,404,83,fit,0.3576039582380858
heatwave_x_sector_interaction,Porites,North,-0.7478028850366553,0.14424812172558393,404,83,fit,0.3576039582380858
heatwave_x_sector_interaction,Porites,South,0.28143198110497014,0.14424812172558393,404,83,fit,0.3576039582380858
