analysis,category,term,beta,ci_low,ci_high,p,n,reefs,area,status,q
six_management_baseline_gt10,Montipora,heatwave_years_5yr_z,0.7876749031688843,-0.41989110438708455,1.9952409107248532,0.20109031377125564,78,16,Burdekin,fit,0.40218062754251127
six_management_baseline_gt10,Other,heatwave_years_5yr_z,0.3690660151138633,-0.177116783216675,0.9152488134444016,0.1853753400179703,93,17,Burdekin,fit,0.40218062754251127
six_management_baseline_gt10,Pocilloporidae,heatwave_years_5yr_z,-0.5293734694429731,-1.2321635014936319,0.17341656260768556,0.1398542070006628,72,15,Burdekin,fit,0.40218062754251127
six_management_baseline_gt10,Acropora,heatwave_years_5yr_z,-1.1943162351143237,-3.39918386389796,1.0105513936693127,0.2883906741623711,93,17,Burdekin,fit,0.4169727269003784
six_management_baseline_gt10,Merulinidae,heatwave_years_5yr_z,-0.28337787347895277,-0.8745583839018733,0.30780263694396787,0.347477272416982,93,17,Burdekin,fit,0.4169727269003784
six_management_baseline_gt10,Porites,heatwave_years_5yr_z,-0.04899494684759451,-0.5095927576207555,0.41160286392556644,0.8348492822140517,93,17,Burdekin,fit,0.8348492822140517
six_management_baseline_gt10,Acropora,heatwave_years_5yr_z,,,,,8,4,Burnett Mary,skipped_small_area,
six_management_baseline_gt10,Merulinidae,heatwave_years_5yr_z,,,,,8,4,Burnett Mary,skipped_small_area,
six_management_baseline_gt10,Montipora,heatwave_years_5yr_z,,,,,8,4,Burnett Mary,skipped_small_area,
six_management_baseline_gt10,Other,heatwave_years_5yr_z,,,,,8,4,Burnett Mary,skipped_small_area,
six_management_baseline_gt10,Pocilloporidae,heatwave_years_5yr_z,,,,,8,4,Burnett Mary,skipped_small_area,
six_management_baseline_gt10,Porites,heatwave_years_5yr_z,,,,,8,4,Burnett Mary,skipped_small_area,
six_management_baseline_gt10,Other,heatwave_years_5yr_z,-0.24136649189852669,-0.5013071948255453,0.018574211028491966,0.0687721571877889,69,13,Cape York,fit,0.2778982684468215
six_management_baseline_gt10,Porites,heatwave_years_5yr_z,-1.5000710468313196,-3.345694371377996,0.3455522777153568,0.11115930737872859,69,13,Cape York,fit,0.2778982684468215
six_management_baseline_gt10,Acropora,heatwave_years_5yr_z,1.5512110474843546,-1.0117667746331516,4.114188869601861,0.23552584345542615,66,12,Cape York,fit,0.35966144752748774
six_management_baseline_gt10,Merulinidae,heatwave_years_5yr_z,-0.570562622683905,-1.7913808671916631,0.6502556218238532,0.35966144752748774,69,13,Cape York,fit,0.35966144752748774
six_management_baseline_gt10,Pocilloporidae,heatwave_years_5yr_z,0.9185537427449828,-0.8782621337455583,2.715369619235524,0.31636435887739744,53,9,Cape York,fit,0.35966144752748774
six_management_baseline_gt10,Montipora,heatwave_years_5yr_z,,,,,39,6,Cape York,skipped_small_area,
six_management_baseline_gt10,Montipora,heatwave_years_5yr_z,-0.595158913557875,-1.2237151786582219,0.03339735154247203,0.06347859554949073,84,30,Fitzroy,fit,0.23937659088223365
