"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series","color"
"photo-transect","reef","Sand bank No.1","2019","2019.010958904109589041","HARD CORAL","30.503884416591326","27.22978793422703","34.005815870565826","LTMP","9","_"," ","30.539685676381573","null","9.0m","#1f77b4"
"photo-transect","reef","Sand bank No.1","2020","2019.9424657534246575","HARD CORAL","30.219982900598495","26.77017053106543","33.310808092723235","LTMP","9","_"," ","30.237965762524926","null","9.0m",""
"photo-transect","reef","Sand bank No.1","2021","2020.9698630136986301","HARD CORAL","42.393728564869186","37.9895655252176","46.43119907669164","LTMP","9","_"," ","42.40032524616626","null","9.0m",""
"photo-transect","reef","Sand bank No.1","2022","2021.8136986301369863","HARD CORAL","44.66584942399512","40.22868483761982","48.96905643181294","LTMP","9","_"," ","44.653339291276836","null","9.0m",""
"photo-transect","reef","Sand bank No.1","2023","2022.9095890410958904","HARD CORAL","37.73777163814471","33.513285894673714","41.361334258619834","LTMP","9","_"," ","37.738206461327266","null","9.0m",""
"photo-transect","reef","Sand bank No.1","2024","2023.9232876712328767","HARD CORAL","42.143314913993436","37.51856868676154","46.02839028955304","LTMP","9","_"," ","42.20900881579413","null","9.0m",""
"photo-transect","reef","Sand bank No.1","2025","2024.9232876712328767","HARD CORAL","41.74588733283281","37.57600622912716","46.1534446174594","LTMP","9","_"," ","41.72627597778458","null","9.0m",""
